trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,PATTERN_BREAKOUT,ST_flip,2025-07-03 10:00:00,2025-07-03 20:00:00,long,109129,109129,100,0.1,10912.9,100.0,0.0,-10.11,-849.45,-0.01,0,0.0,0,0.0,-10.11,-849.45,-0.01,1091.29,0.1,10,5.0,0.01,0,0.0,10.11,0
2,PATTERN_BREAKOUT,ST_flip,2025-07-05 06:00:00,2025-07-06 22:00:00,long,107827,108385,100,0.1,10782.7,100.0,55.8,45.65,3834.6,0.05,558,0.52,0,0.0,35.54,2985.15,0.04,1078.27,0.1,10,5.0,0.05,0,0.0,10.15,0
3,PATTERN_BREAKOUT,ST_flip,2025-07-05 08:00:00,2025-07-06 22:00:00,long,108013,108385,100,0.1,10801.3,100.0,37.2,27.05,2272.41,0.03,372,0.34,0,0.0,62.59,5257.56,0.06,1080.13,0.1,10,5.0,0.05,0,0.0,10.15,0
4,PATTERN_BREAKOUT,ST_flip,2025-07-08 04:00:00,2025-07-08 06:00:00,long,108385,107827,100,0.1,10838.5,100.0,-55.8,-65.9,-5535.81,-0.07,0,0.0,558,0.51,-3.31,-278.25,-0.0,1083.85,0.1,10,5.0,0.0,0,0.0,10.1,0
5,PATTERN_BREAKOUT,ST_flip,2025-07-11 20:00:00,2025-07-12 02:00:00,long,117313,117499,100,0.1,11731.3,100.0,18.6,8.49,713.37,0.01,186,0.16,0,0.0,5.18,435.12,0.01,1173.13,0.1,10,5.0,0.01,0,0.0,10.11,0
6,PATTERN_BREAKOUT,ST_flip,2025-07-14 02:00:00,2025-07-14 14:00:00,long,118429,121777,100,0.1,11842.9,100.0,334.8,324.69,27273.54,0.32,3348,2.83,0,0.0,329.87,27708.66,0.33,1184.29,0.1,10,5.0,0.01,0,0.0,10.12,0
7,PATTERN_BREAKOUT,ST_flip,2025-07-14 18:00:00,2025-07-14 20:00:00,long,121591,120847,100,0.1,12159.1,100.0,-74.4,-84.5,-7098.21,-0.08,0,0.0,744,0.61,245.36,20610.45,0.25,1215.91,0.1,10,5.0,0.0,0,0.0,10.1,0
8,PATTERN_BREAKOUT,ST_flip,2025-07-14 20:00:00,2025-07-14 20:00:00,long,121405,120661,100,0.1,12140.5,100.0,-74.4,-84.5,-7098.0,-0.08,0,0.0,744,0.61,160.86,13512.45,0.16,1214.05,0.1,10,5.0,0.0,0,0.0,10.1,0
9,PATTERN_BREAKOUT,ST_flip,2025-07-15 18:00:00,2025-07-15 20:00:00,long,117685,116755,100,0.1,11768.5,100.0,-93.0,-103.1,-8660.61,-0.1,0,0.0,930,0.79,57.76,4851.84,0.06,1176.85,0.1,10,5.0,0.0,0,0.0,10.1,0
10,PATTERN_BREAKOUT,ST_flip,2025-07-15 20:00:00,2025-07-16 00:00:00,long,117313,116569,100,0.1,11731.3,100.0,-74.4,-84.51,-7098.42,-0.08,0,0.0,744,0.63,-26.74,-2246.58,-0.03,1173.13,0.1,10,5.0,0.01,0,0.0,10.11,0
11,PATTERN_BREAKOUT,ST_flip,2025-07-16 20:00:00,2025-07-17 04:00:00,long,118801,118987,100,0.1,11880.1,100.0,18.6,8.49,713.16,0.01,186,0.16,0,0.0,-18.25,-1533.42,-0.02,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,0
12,PATTERN_BREAKOUT,ST_flip,2025-07-17 18:00:00,2025-07-18 00:00:00,long,118243,118987,100,0.1,11824.3,100.0,74.4,64.29,5400.57,0.06,744,0.63,0,0.0,46.04,3867.15,0.05,1182.43,0.1,10,5.0,0.01,0,0.0,10.11,0
13,PATTERN_BREAKOUT,ST_flip,2025-07-18 02:00:00,2025-07-18 04:00:00,long,119359,119545,100,0.1,11935.9,100.0,18.6,8.5,713.79,0.01,186,0.16,0,0.0,54.54,4580.94,0.05,1193.59,0.1,10,5.0,0.0,0,0.0,10.1,0
14,PATTERN_BREAKOUT,ST_flip,2025-07-19 02:00:00,2025-07-20 02:00:00,long,117871,117685,100,0.1,11787.1,100.0,-18.6,-28.73,-2413.32,-0.03,0,0.0,186,0.16,25.81,2167.62,0.03,1178.71,0.1,10,5.0,0.03,0,0.0,10.13,0
15,PATTERN_BREAKOUT,ST_flip,2025-07-21 06:00:00,2025-07-21 14:00:00,long,117685,118615,100,0.1,11768.5,100.0,93.0,82.89,6962.76,0.08,930,0.79,0,0.0,108.7,9130.38,0.11,1176.85,0.1,10,5.0,0.01,0,0.0,10.11,0
16,PATTERN_BREAKOUT,ST_flip,2025-07-21 18:00:00,2025-07-21 20:00:00,long,118801,118243,100,0.1,11880.1,100.0,-55.8,-65.9,-5535.81,-0.07,0,0.0,558,0.47,42.79,3594.57,0.04,1188.01,0.1,10,5.0,0.0,0,0.0,10.1,0
17,PATTERN_BREAKOUT,ST_flip,2025-07-22 08:00:00,2025-07-22 10:00:00,long,117313,117127,100,0.1,11731.3,100.0,-18.6,-28.7,-2411.01,-0.03,0,0.0,186,0.16,14.09,1183.56,0.01,1173.13,0.1,10,5.0,0.0,0,0.0,10.1,0
18,PATTERN_BREAKOUT,ST_flip,2025-07-22 18:00:00,2025-07-23 06:00:00,long,118429,119173,100,0.1,11842.9,100.0,74.4,64.29,5399.94,0.06,744,0.63,0,0.0,78.38,6583.5,0.08,1184.29,0.1,10,5.0,0.01,0,0.0,10.12,0
19,PATTERN_BREAKOUT,ST_flip,2025-07-22 20:00:00,2025-07-23 06:00:00,long,118801,119173,100,0.1,11880.1,100.0,37.2,27.09,2275.35,0.03,372,0.31,0,0.0,105.46,8858.85,0.11,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,0
20,PATTERN_BREAKOUT,ST_flip,2025-07-23 08:00:00,2025-07-23 14:00:00,long,118987,118243,100,0.1,11898.7,100.0,-74.4,-84.51,-7098.63,-0.08,0,0.0,744,0.63,20.96,1760.22,0.02,1189.87,0.1,10,5.0,0.01,0,0.0,10.11,0
21,PATTERN_BREAKOUT,ST_flip,2025-07-24 02:00:00,2025-07-24 08:00:00,long,118615,118429,100,0.1,11861.5,100.0,-18.6,-28.71,-2411.43,-0.03,0,0.0,186,0.16,-7.75,-651.21,-0.01,1186.15,0.1,10,5.0,0.01,0,0.0,10.11,0
22,PATTERN_BREAKOUT,ST_flip,2025-07-24 04:00:00,2025-07-24 08:00:00,long,118801,118243,100,0.1,11880.1,100.0,-55.8,-65.91,-5536.02,-0.07,0,0.0,558,0.47,-73.66,-6187.23,-0.07,1188.01,0.1,10,5.0,0.01,0,0.0,10.11,0
23,PATTERN_BREAKOUT,ST_flip,2025-07-25 14:00:00,2025-07-25 22:00:00,long,116197,115825,100,0.1,11619.7,100.0,-37.2,-47.31,-3974.04,-0.05,0,0.0,372,0.32,-120.97,-10161.27,-0.12,1161.97,0.1,10,5.0,0.01,0,0.0,10.11,0
24,PATTERN_BREAKOUT,ST_flip,2025-07-25 18:00:00,2025-07-28 08:00:00,long,115825,118987,100,0.1,11582.5,100.0,316.2,306.02,25705.89,0.31,3162,2.73,0,0.0,185.06,15544.62,0.19,1158.25,0.1,10,5.0,0.08,0,0.0,10.18,0
25,PATTERN_BREAKOUT,ST_flip,2025-07-28 10:00:00,2025-07-28 18:00:00,long,119359,118801,100,0.1,11935.9,100.0,-55.8,-65.91,-5536.44,-0.07,0,0.0,558,0.47,119.15,10008.18,0.12,1193.59,0.1,10,5.0,0.01,0,0.0,10.11,0
26,PATTERN_BREAKOUT,ST_flip,2025-07-28 12:00:00,2025-07-28 18:00:00,long,119173,118429,100,0.1,11917.3,100.0,-74.4,-84.51,-7098.63,-0.08,0,0.0,744,0.62,34.64,2909.55,0.03,1191.73,0.1,10,5.0,0.01,0,0.0,10.11,0
27,PATTERN_BREAKOUT,ST_flip,2025-07-29 02:00:00,2025-07-29 18:00:00,long,118243,118243,100,0.1,11824.3,100.0,0.0,-10.12,-850.08,-0.01,0,0.0,0,0.0,24.52,2059.47,0.02,1182.43,0.1,10,5.0,0.02,0,0.0,10.12,0
28,PATTERN_BREAKOUT,ST_flip,2025-07-29 08:00:00,2025-07-29 18:00:00,long,118429,118243,100,0.1,11842.9,100.0,-18.6,-28.71,-2411.85,-0.03,0,0.0,186,0.16,-4.19,-352.38,-0.0,1184.29,0.1,10,5.0,0.01,0,0.0,10.11,0
29,PATTERN_BREAKOUT,ST_flip,2025-07-30 08:00:00,2025-07-31 00:00:00,long,118057,117499,100,0.1,11805.7,100.0,-55.8,-65.92,-5537.28,-0.07,0,0.0,558,0.47,-70.11,-5889.66,-0.07,1180.57,0.1,10,5.0,0.02,0,0.0,10.12,0
30,PATTERN_BREAKOUT,ST_flip,2025-07-30 14:00:00,2025-07-31 00:00:00,long,118243,117313,100,0.1,11824.3,100.0,-93.0,-103.11,-8661.45,-0.1,0,0.0,930,0.79,-173.23,-14551.11,-0.17,1182.43,0.1,10,5.0,0.01,0,0.0,10.11,0
31,PATTERN_BREAKOUT,ST_flip,2025-07-31 20:00:00,2025-07-31 22:00:00,long,118243,118057,100,0.1,11824.3,100.0,-18.6,-28.7,-2411.01,-0.03,0,0.0,186,0.16,-201.93,-16962.12,-0.2,1182.43,0.1,10,5.0,0.0,0,0.0,10.1,0
32,PATTERN_BREAKOUT,ST_flip,2025-08-01 16:00:00,2025-08-01 22:00:00,long,115267,115081,100,0.1,11526.7,100.0,-18.6,-28.71,-2411.43,-0.03,0,0.0,186,0.16,-230.64,-19373.55,-0.23,1152.67,0.1,10,5.0,0.01,0,0.0,10.11,0
33,PATTERN_BREAKOUT,ST_flip,2025-08-01 18:00:00,2025-08-01 22:00:00,long,115453,114895,100,0.1,11545.3,100.0,-55.8,-65.91,-5536.02,-0.07,0,0.0,558,0.48,-296.54,-24909.57,-0.3,1154.53,0.1,10,5.0,0.01,0,0.0,10.11,0
34,PATTERN_BREAKOUT,ST_flip,2025-08-03 06:00:00,2025-08-04 20:00:00,long,113221,114709,100,0.1,11322.1,100.0,148.8,138.65,11646.81,0.14,1488,1.31,0,0.0,-157.89,-13262.76,-0.16,1132.21,0.1,10,5.0,0.05,0,0.0,10.15,0
35,PATTERN_BREAKOUT,ST_flip,2025-08-04 22:00:00,2025-08-05 00:00:00,long,115081,114523,100,0.1,11508.1,100.0,-55.8,-65.9,-5535.81,-0.07,0,0.0,558,0.48,-223.79,-18798.57,-0.22,1150.81,0.1,10,5.0,0.0,0,0.0,10.1,0
36,PATTERN_BREAKOUT,ST_flip,2025-08-05 00:00:00,2025-08-05 02:00:00,long,114895,115081,100,0.1,11489.5,100.0,18.6,8.5,713.79,0.01,186,0.16,0,0.0,-215.29,-18084.78,-0.22,1148.95,0.1,10,5.0,0.0,0,0.0,10.1,0
37,PATTERN_BREAKOUT,ST_flip,2025-08-06 00:00:00,2025-08-06 10:00:00,long,113965,113965,100,0.1,11396.5,100.0,0.0,-10.11,-849.45,-0.01,0,0.0,0,0.0,-225.41,-18934.23,-0.23,1139.65,0.1,10,5.0,0.01,0,0.0,10.11,0
38,PATTERN_BREAKOUT,ST_flip,2025-08-06 08:00:00,2025-08-07 06:00:00,long,113593,114709,100,0.1,11359.3,100.0,111.6,101.47,8523.69,0.1,1116,0.98,0,0.0,-123.93,-10410.54,-0.12,1135.93,0.1,10,5.0,0.03,0,0.0,10.13,0
39,PATTERN_BREAKOUT,ST_flip,2025-08-07 08:00:00,2025-08-08 06:00:00,long,114523,116755,100,0.1,11452.3,100.0,223.2,213.07,17898.09,0.21,2232,1.95,0,0.0,89.14,7487.55,0.09,1145.23,0.1,10,5.0,0.03,0,0.0,10.13,0
40,PATTERN_BREAKOUT,ST_flip,2025-08-07 12:00:00,2025-08-08 06:00:00,long,114895,116755,100,0.1,11489.5,100.0,186.0,175.88,14773.71,0.18,1860,1.62,0,0.0,265.02,22261.26,0.27,1148.95,0.1,10,5.0,0.02,0,0.0,10.12,0
41,PATTERN_BREAKOUT,ST_flip,2025-08-08 20:00:00,2025-08-09 06:00:00,long,116383,116383,100,0.1,11638.3,100.0,0.0,-10.11,-849.45,-0.01,0,0.0,0,0.0,254.9,21411.81,0.25,1163.83,0.1,10,5.0,0.01,0,0.0,10.11,0
