trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY,ST_FLIP_RED,2025-07-06T17:00:00,2025-07-06T23:00:00,long,108072,108630,100,0.1,10807.2,100.0,55.8,45.69,3837.96,0.05,558,0.52,0,0.0,45.69,3837.96,0.05,1080.72,0.1,10,5.0,0.01,0,0.0,10.11,107948
2,BUY,ST_FLIP_RED,2025-07-07T01:00:00,2025-07-07T04:00:00,long,108630,109188,100,0.1,10863.0,100.0,55.8,45.69,3837.96,0.05,558,0.51,0,0.0,91.38,7675.92,0.09,1086.3,0.1,10,5.0,0.01,0,0.0,10.11,108506
3,BUY,ST_FLIP_RED,2025-07-07T07:00:00,2025-07-07T09:00:00,long,109064,109374,100,0.1,10906.4,100.0,31.0,20.89,1754.76,0.02,310,0.28,0,0.0,112.27,9430.68,0.11,1090.64,0.1,10,5.0,0.01,0,0.0,10.11,108940
4,BUY,ST_FLIP_RED,2025-07-07T20:00:00,2025-07-07T21:00:00,long,108320,108320,100,0.1,10832.0,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,102.16,8581.44,0.1,1083.2,0.1,10,5.0,0.01,0,0.0,10.11,108196
5,BUY,ST_FLIP_RED,2025-07-08T00:00:00,2025-07-08T01:00:00,long,107762,108010,100,0.1,10776.2,100.0,24.8,14.69,1233.96,0.01,248,0.23,0,0.0,116.85,9815.4,0.12,1077.62,0.1,10,5.0,0.01,0,0.0,10.11,107638
6,BUY,ST_FLIP_RED,2025-07-08T03:00:00,2025-07-08T06:00:00,long,107948,108196,100,0.1,10794.8,100.0,24.8,14.69,1233.96,0.01,248,0.23,0,0.0,131.54,11049.36,0.13,1079.48,0.1,10,5.0,0.01,0,0.0,10.11,107824
7,BUY,ST_FLIP_RED,2025-07-08T10:00:00,2025-07-08T17:00:00,long,108072,108630,100,0.1,10807.2,100.0,55.8,45.69,3837.96,0.05,558,0.52,0,0.0,177.23,14887.32,0.18,1080.72,0.1,10,5.0,0.01,0,0.0,10.11,107948
8,BUY,ST_FLIP_RED,2025-07-08T18:00:00,2025-07-08T19:00:00,long,108816,108692,100,0.1,10881.6,100.0,-12.4,-22.51,-1890.84,-0.02,0,0.0,124,0.11,154.72,12996.48,0.15,1088.16,0.1,10,5.0,0.01,0,0.0,10.11,108692
9,BUY,ST_FLIP_RED,2025-07-08T21:00:00,2025-07-09T01:00:00,long,108444,108816,100,0.1,10844.4,100.0,37.2,27.09,2275.56,0.03,372,0.34,0,0.0,181.81,15272.04,0.18,1084.44,0.1,10,5.0,0.01,0,0.0,10.11,108320
10,BUY,ST_FLIP_RED,2025-07-09T11:00:00,2025-07-09T14:00:00,long,108568,108568,100,0.1,10856.8,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,171.7,14422.8,0.17,1085.68,0.1,10,5.0,0.01,0,0.0,10.11,108444
11,BUY,ST_FLIP_RED,2025-07-09T15:00:00,2025-07-09T19:00:00,long,108692,109312,100,0.1,10869.2,100.0,62.0,51.89,4358.76,0.05,620,0.57,0,0.0,223.59,18781.56,0.22,1086.92,0.1,10,5.0,0.01,0,0.0,10.11,108568
12,BUY,ST_FLIP_RED,2025-07-09T20:00:00,2025-07-10T05:00:00,long,109002,111172,100,0.1,10900.2,100.0,217.0,206.89,17378.76,0.21,2170,1.99,0,0.0,430.48,36160.32,0.43,1090.02,0.1,10,5.0,0.01,0,0.0,10.11,108878
13,BUY,ST_FLIP_RED,2025-07-10T07:00:00,2025-07-10T08:00:00,long,111296,111110,100,0.1,11129.6,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,401.77,33748.68,0.4,1112.96,0.1,10,5.0,0.01,0,0.0,10.11,111172
14,BUY,ST_FLIP_RED,2025-07-10T11:00:00,2025-07-10T14:00:00,long,111172,111110,100,0.1,11117.2,100.0,-6.2,-16.31,-1370.04,-0.02,0,0.0,62,0.06,385.46,32378.64,0.39,1111.72,0.1,10,5.0,0.01,0,0.0,10.11,111048
15,BUY,ST_FLIP_RED,2025-07-10T16:00:00,2025-07-10T17:00:00,long,111172,110986,100,0.1,11117.2,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,356.75,29967.0,0.36,1111.72,0.1,10,5.0,0.01,0,0.0,10.11,111048
16,BUY,ST_FLIP_RED,2025-07-10T18:00:00,2025-07-10T19:00:00,long,111048,110862,100,0.1,11104.8,100.0,-18.6,-28.71,-2411.64,-0.03,0,0.0,186,0.17,328.04,27555.36,0.33,1110.48,0.1,10,5.0,0.01,0,0.0,10.11,110924
17,BUY,ST_FLIP_RED,2025-07-10T20:00:00,2025-07-10T23:00:00,long,110986,113218,100,0.1,11098.6,100.0,223.2,213.09,17899.56,0.21,2232,2.01,0,0.0,541.13,45454.92,0.54,1109.86,0.1,10,5.0,0.01,0,0.0,10.11,110862
