trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_A,ST_FLIP_RED,2025-07-06T04:00:00,2025-07-06T12:00:00,long,108157.5,107833.5,100,0.1,10815.75,100.0,-32.4,-42.51,-3570.84,-0.04,0,0.0,324,0.3,-42.51,-3570.84,-0.04,1081.58,0.1,10,5.0,0.01,0,0.0,10.11,107941.5
2,BUY_A,ST_FLIP_RED,2025-07-06T18:00:00,2025-07-06T22:00:00,long,108265.5,108589.5,100,0.1,10826.55,100.0,32.4,22.29,1872.36,0.02,324,0.3,0,0.0,-20.22,-1698.48,-0.02,1082.66,0.1,10,5.0,0.01,0,0.0,10.11,108049.5
3,BUY_A,ST_FLIP_RED,2025-07-07T02:00:00,2025-07-07T04:00:00,long,109021.5,109129.5,100,0.1,10902.15,100.0,10.8,0.69,57.96,0.0,108,0.1,0,0.0,-19.53,-1640.52,-0.02,1090.22,0.1,10,5.0,0.01,0,0.0,10.11,108805.5
4,SELL_B,ST_FLIP_GREEN,2025-07-07T08:00:00,2025-07-08T00:00:00,short,109129.5,107941.5,100,0.1,10912.95,100.0,118.8,108.69,9129.96,0.11,1188,1.09,0,0.0,89.16,7489.44,0.09,1091.3,0.1,10,5.0,0.01,0,0.0,10.11,109345.5
5,BUY_A,ST_FLIP_RED,2025-07-08T04:00:00,2025-07-08T06:00:00,long,108265.5,108049.5,100,0.1,10826.55,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.2,57.45,4825.8,0.06,1082.66,0.1,10,5.0,0.01,0,0.0,10.11,108049.5
6,BUY_B,ST_FLIP_RED,2025-07-08T10:00:00,2025-07-09T06:00:00,long,108157.5,108589.5,100,0.1,10815.75,100.0,43.2,33.09,2779.56,0.03,432,0.4,0,0.0,90.54,7605.36,0.09,1081.58,0.1,10,5.0,0.01,0,0.0,10.11,107941.5
7,BUY_B,ST_FLIP_RED,2025-07-09T10:00:00,2025-07-09T18:00:00,long,108697.5,109129.5,100,0.1,10869.75,100.0,43.2,33.09,2779.56,0.03,432,0.4,0,0.0,123.63,10384.92,0.12,1086.97,0.1,10,5.0,0.01,0,0.0,10.11,108481.5
8,BUY_A,ST_FLIP_RED,2025-07-09T22:00:00,2025-07-10T16:00:00,long,109345.5,110857.5,100,0.1,10934.55,100.0,151.2,141.09,11851.56,0.14,1512,1.38,0,0.0,264.72,22236.48,0.26,1093.46,0.1,10,5.0,0.01,0,0.0,10.11,109129.5
9,BUY_B,ST_FLIP_RED,2025-07-10T20:00:00,2025-07-11T04:00:00,long,111181.5,115501.5,100,0.1,11118.15,100.0,432.0,421.89,35438.76,0.42,4320,3.89,0,0.0,686.61,57675.24,0.69,1111.82,0.1,10,5.0,0.01,0,0.0,10.11,110965.5
10,BUY_A,ST_FLIP_RED,2025-07-11T10:00:00,2025-07-11T16:00:00,long,116797.5,117877.5,100,0.1,11679.75,100.0,108.0,97.89,8222.76,0.1,1080,0.92,0,0.0,784.5,65898.0,0.78,1167.97,0.1,10,5.0,0.01,0,0.0,10.11,116581.5
11,SELL_B,ST_FLIP_GREEN,2025-07-11T20:00:00,2025-07-12T00:00:00,short,117661.5,117553.5,100,0.1,11766.15,100.0,10.8,0.69,57.96,0.0,108,0.09,0,0.0,785.19,65955.96,0.79,1176.62,0.1,10,5.0,0.01,0,0.0,10.11,117877.5
12,SELL_B,ST_FLIP_GREEN,2025-07-12T02:00:00,2025-07-12T04:00:00,short,117661.5,117553.5,100,0.1,11766.15,100.0,10.8,0.69,57.96,0.0,108,0.09,0,0.0,785.88,66013.92,0.79,1176.62,0.1,10,5.0,0.01,0,0.0,10.11,117877.5
13,BUY_A,ST_FLIP_RED,2025-07-12T14:00:00,2025-07-12T16:00:00,long,117985.5,117661.5,100,0.1,11798.55,100.0,-32.4,-42.51,-3570.84,-0.04,0,0.0,324,0.27,743.37,62443.08,0.74,1179.86,0.1,10,5.0,0.01,0,0.0,10.11,117769.5
14,BUY_A,ST_FLIP_RED,2025-07-13T16:00:00,2025-07-13T20:00:00,long,117877.5,118741.5,100,0.1,11787.75,100.0,86.4,76.29,6408.36,0.08,864,0.73,0,0.0,819.66,68851.44,0.82,1178.78,0.1,10,5.0,0.01,0,0.0,10.11,117661.5
15,BUY_B,ST_FLIP_RED,2025-07-13T22:00:00,2025-07-14T02:00:00,long,119065.5,118849.5,100,0.1,11906.55,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.18,787.95,66187.8,0.79,1190.66,0.1,10,5.0,0.01,0,0.0,10.11,118849.5
16,BUY_A,ST_FLIP_RED,2025-07-14T04:00:00,2025-07-14T14:00:00,long,119173.5,122089.5,100,0.1,11917.35,100.0,291.6,281.49,23645.16,0.28,2916,2.45,0,0.0,1069.44,89832.96,1.07,1191.74,0.1,10,5.0,0.01,0,0.0,10.11,118957.5
17,SELL_B,ST_FLIP_GREEN,2025-07-15T04:00:00,2025-07-15T18:00:00,short,120037.5,117229.5,100,0.1,12003.75,100.0,280.8,270.69,22737.96,0.27,2808,2.34,0,0.0,1340.13,112570.92,1.34,1200.38,0.1,10,5.0,0.01,0,0.0,10.11,120253.5
18,BUY_B,ST_FLIP_RED,2025-07-16T02:00:00,2025-07-16T18:00:00,long,116905.5,118741.5,100,0.1,11690.55,100.0,183.6,173.49,14573.16,0.17,1836,1.57,0,0.0,1513.62,127144.08,1.51,1169.06,0.1,10,5.0,0.01,0,0.0,10.11,116689.5
19,BUY_A,ST_FLIP_RED,2025-07-16T20:00:00,2025-07-17T02:00:00,long,119173.5,119173.5,100,0.1,11917.35,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1503.51,126294.84,1.5,1191.74,0.1,10,5.0,0.01,0,0.0,10.11,118957.5
20,SELL_A,ST_FLIP_GREEN,2025-07-17T04:00:00,2025-07-17T10:00:00,short,119065.5,118633.5,100,0.1,11906.55,100.0,43.2,33.09,2779.56,0.03,432,0.36,0,0.0,1536.6,129074.4,1.54,1190.66,0.1,10,5.0,0.01,0,0.0,10.11,119281.5
21,SELL_B,ST_FLIP_GREEN,2025-07-17T12:00:00,2025-07-17T14:00:00,short,118417.5,118525.5,100,0.1,11841.75,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.09,1515.69,127317.96,1.52,1184.17,0.1,10,5.0,0.01,0,0.0,10.11,118633.5
22,SELL_B,ST_FLIP_GREEN,2025-07-17T16:00:00,2025-07-17T18:00:00,short,118309.5,117769.5,100,0.1,11830.95,100.0,54.0,43.89,3686.76,0.04,540,0.46,0,0.0,1559.58,131004.72,1.56,1183.1,0.1,10,5.0,0.01,0,0.0,10.11,118525.5
23,SELL_A,ST_FLIP_GREEN,2025-07-18T00:00:00,2025-07-18T02:00:00,short,118957.5,119281.5,100,0.1,11895.75,100.0,-32.4,-42.51,-3570.84,-0.04,0,0.0,324,0.27,1517.07,127433.88,1.52,1189.58,0.1,10,5.0,0.01,0,0.0,10.11,119173.5
24,SELL_A,ST_FLIP_GREEN,2025-07-18T04:00:00,2025-07-18T06:00:00,short,119713.5,119713.5,100,0.1,11971.35,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1506.96,126584.64,1.51,1197.13,0.1,10,5.0,0.01,0,0.0,10.11,119929.5
25,SELL_A,ST_FLIP_GREEN,2025-07-18T12:00:00,2025-07-18T16:00:00,short,119929.5,119173.5,100,0.1,11992.95,100.0,75.6,65.49,5501.16,0.07,756,0.63,0,0.0,1572.45,132085.8,1.57,1199.3,0.1,10,5.0,0.01,0,0.0,10.11,120145.5
26,SELL_B,ST_FLIP_GREEN,2025-07-18T18:00:00,2025-07-19T02:00:00,short,118957.5,117337.5,100,0.1,11895.75,100.0,162.0,151.89,12758.76,0.15,1620,1.36,0,0.0,1724.34,144844.56,1.72,1189.58,0.1,10,5.0,0.01,0,0.0,10.11,119173.5
27,BUY_B,ST_FLIP_RED,2025-07-19T20:00:00,2025-07-19T22:00:00,long,118093.5,117877.5,100,0.1,11809.35,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.18,1692.63,142180.92,1.69,1180.93,0.1,10,5.0,0.01,0,0.0,10.11,117877.5
28,BUY_B,ST_FLIP_RED,2025-07-20T08:00:00,2025-07-20T10:00:00,long,117985.5,117769.5,100,0.1,11798.55,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.18,1660.92,139517.28,1.66,1179.86,0.1,10,5.0,0.01,0,0.0,10.11,117769.5
29,BUY_B,ST_FLIP_RED,2025-07-20T12:00:00,2025-07-20T22:00:00,long,118201.5,118417.5,100,0.1,11820.15,100.0,21.6,11.49,965.16,0.01,216,0.18,0,0.0,1672.41,140482.44,1.67,1182.02,0.1,10,5.0,0.01,0,0.0,10.11,117985.5
30,BUY_A,ST_FLIP_RED,2025-07-21T06:00:00,2025-07-21T14:00:00,long,117553.5,118849.5,100,0.1,11755.35,100.0,129.6,119.49,10037.16,0.12,1296,1.1,0,0.0,1791.9,150519.6,1.79,1175.54,0.1,10,5.0,0.01,0,0.0,10.11,117337.5
31,SELL_B,ST_FLIP_GREEN,2025-07-21T20:00:00,2025-07-22T02:00:00,short,118633.5,117445.5,100,0.1,11863.35,100.0,118.8,108.69,9129.96,0.11,1188,1.0,0,0.0,1900.59,159649.56,1.9,1186.34,0.1,10,5.0,0.01,0,0.0,10.11,118849.5
32,SELL_B,ST_FLIP_GREEN,2025-07-22T08:00:00,2025-07-22T10:00:00,short,117121.5,117229.5,100,0.1,11712.15,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.09,1879.68,157893.12,1.88,1171.22,0.1,10,5.0,0.01,0,0.0,10.11,117337.5
33,SELL_A,ST_FLIP_GREEN,2025-07-22T18:00:00,2025-07-22T20:00:00,short,118525.5,118741.5,100,0.1,11852.55,100.0,-21.6,-31.71,-2663.64,-0.03,0,0.0,216,0.18,1847.97,155229.48,1.85,1185.26,0.1,10,5.0,0.01,0,0.0,10.11,118741.5
34,BUY_A,ST_FLIP_RED,2025-07-22T22:00:00,2025-07-23T06:00:00,long,119173.5,119497.5,100,0.1,11917.35,100.0,32.4,22.29,1872.36,0.02,324,0.27,0,0.0,1870.26,157101.84,1.87,1191.74,0.1,10,5.0,0.01,0,0.0,10.11,118957.5
35,BUY_A,ST_FLIP_RED,2025-07-24T04:00:00,2025-07-24T08:00:00,long,118633.5,118633.5,100,0.1,11863.35,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1860.15,156252.6,1.86,1186.34,0.1,10,5.0,0.01,0,0.0,10.11,118417.5
36,BUY_A,ST_FLIP_RED,2025-07-24T12:00:00,2025-07-24T14:00:00,long,118417.5,118309.5,100,0.1,11841.75,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.09,1839.24,154496.16,1.84,1184.17,0.1,10,5.0,0.01,0,0.0,10.11,118201.5
37,BUY_B,ST_FLIP_RED,2025-07-24T16:00:00,2025-07-24T18:00:00,long,118417.5,118309.5,100,0.1,11841.75,100.0,-10.8,-20.91,-1756.44,-0.02,0,0.0,108,0.09,1818.33,152739.72,1.82,1184.17,0.1,10,5.0,0.01,0,0.0,10.11,118201.5
38,BUY_A,ST_FLIP_RED,2025-07-24T20:00:00,2025-07-25T00:00:00,long,118417.5,118849.5,100,0.1,11841.75,100.0,43.2,33.09,2779.56,0.03,432,0.36,0,0.0,1851.42,155519.28,1.85,1184.17,0.1,10,5.0,0.01,0,0.0,10.11,118201.5
