trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL_B,ST_FLIP_GREEN,2025-07-03T02:00:00,2025-07-03T04:00:00,short,2564.85,2579.85,100,0.1,256.49,100.0,-1.5,-11.61,-975.24,-0.01,0,0.0,15,0.58,-11.61,-975.24,-0.01,25.65,0.1,10,5.0,0.01,0,0.0,10.11,2574.85
2,BUY_B,ST_FLIP_RED,2025-07-03T04:00:00,2025-07-03T14:00:00,long,2579.85,2604.85,100,0.1,257.99,100.0,2.5,-7.61,-639.24,-0.01,25,0.97,0,0.0,-19.22,-1614.48,-0.02,25.8,0.1,10,5.0,0.01,0,0.0,10.11,2569.85
3,SELL_B,ST_FLIP_GREEN,2025-07-03T14:00:00,2025-07-03T16:00:00,short,2604.85,2579.85,100,0.1,260.49,100.0,2.5,-7.61,-639.24,-0.01,25,0.96,0,0.0,-26.83,-2253.72,-0.03,26.05,0.1,10,5.0,0.01,0,0.0,10.11,2614.85
4,BUY_A,ST_FLIP_RED,2025-07-03T20:00:00,2025-07-04T02:00:00,long,2584.85,2574.85,100,0.1,258.49,100.0,-1.0,-11.11,-933.24,-0.01,0,0.0,10,0.39,-37.94,-3186.96,-0.04,25.85,0.1,10,5.0,0.01,0,0.0,10.11,2574.85
5,SELL_A,ST_FLIP_GREEN,2025-07-04T04:00:00,2025-07-04T08:00:00,short,2569.85,2549.85,100,0.1,256.99,100.0,2.0,-8.11,-681.24,-0.01,20,0.78,0,0.0,-46.05,-3868.2,-0.05,25.7,0.1,10,5.0,0.01,0,0.0,10.11,2579.85
6,BUY_A,ST_FLIP_RED,2025-07-04T08:00:00,2025-07-04T12:00:00,long,2549.85,2539.85,100,0.1,254.99,100.0,-1.0,-11.11,-933.24,-0.01,0,0.0,10,0.39,-57.16,-4801.44,-0.06,25.5,0.1,10,5.0,0.01,0,0.0,10.11,2539.85
7,SELL_A,ST_FLIP_GREEN,2025-07-04T12:00:00,2025-07-04T20:00:00,short,2529.85,2499.85,100,0.1,252.99,100.0,3.0,-7.11,-597.24,-0.01,30,1.19,0,0.0,-64.27,-5398.68,-0.06,25.3,0.1,10,5.0,0.01,0,0.0,10.11,2539.85
8,BUY_B,ST_FLIP_RED,2025-07-04T20:00:00,2025-07-05T14:00:00,long,2499.85,2504.85,100,0.1,249.99,100.0,0.5,-9.61,-807.24,-0.01,5,0.2,0,0.0,-73.88,-6205.92,-0.07,25.0,0.1,10,5.0,0.01,0,0.0,10.11,2489.85
9,BUY_B,ST_FLIP_RED,2025-07-05T20:00:00,2025-07-06T18:00:00,long,2519.85,2539.85,100,0.1,251.99,100.0,2.0,-8.11,-681.24,-0.01,20,0.79,0,0.0,-81.99,-6887.16,-0.08,25.2,0.1,10,5.0,0.01,0,0.0,10.11,2509.85
10,SELL_A,ST_FLIP_GREEN,2025-07-06T18:00:00,2025-07-06T20:00:00,short,2539.85,2554.85,100,0.1,253.99,100.0,-1.5,-11.61,-975.24,-0.01,0,0.0,15,0.59,-93.6,-7862.4,-0.09,25.4,0.1,10,5.0,0.01,0,0.0,10.11,2549.85
11,BUY_A,ST_FLIP_RED,2025-07-06T20:00:00,2025-07-06T22:00:00,long,2554.85,2574.85,100,0.1,255.49,100.0,2.0,-8.11,-681.24,-0.01,20,0.78,0,0.0,-101.71,-8543.64,-0.1,25.55,0.1,10,5.0,0.01,0,0.0,10.11,2544.85
12,SELL_A,ST_FLIP_GREEN,2025-07-06T22:00:00,2025-07-07T02:00:00,short,2574.85,2579.85,100,0.1,257.49,100.0,-0.5,-10.61,-891.24,-0.01,0,0.0,5,0.19,-112.32,-9434.88,-0.11,25.75,0.1,10,5.0,0.01,0,0.0,10.11,2584.85
13,SELL_B,ST_FLIP_GREEN,2025-07-07T04:00:00,2025-07-08T04:00:00,short,2564.85,2544.85,100,0.1,256.49,100.0,2.0,-8.11,-681.24,-0.01,20,0.78,0,0.0,-120.43,-10116.12,-0.12,25.65,0.1,10,5.0,0.01,0,0.0,10.11,2574.85
14,BUY_A,ST_FLIP_RED,2025-07-08T04:00:00,2025-07-08T14:00:00,long,2544.85,2569.85,100,0.1,254.49,100.0,2.5,-7.61,-639.24,-0.01,25,0.98,0,0.0,-128.04,-10755.36,-0.13,25.45,0.1,10,5.0,0.01,0,0.0,10.11,2534.85
15,SELL_A,ST_FLIP_GREEN,2025-07-08T14:00:00,2025-07-08T16:00:00,short,2564.85,2574.85,100,0.1,256.49,100.0,-1.0,-11.11,-933.24,-0.01,0,0.0,10,0.39,-139.15,-11688.6,-0.14,25.65,0.1,10,5.0,0.01,0,0.0,10.11,2574.85
16,BUY_A,ST_FLIP_RED,2025-07-08T16:00:00,2025-07-08T18:00:00,long,2579.85,2604.85,100,0.1,257.99,100.0,2.5,-7.61,-639.24,-0.01,25,0.97,0,0.0,-146.76,-12327.84,-0.15,25.8,0.1,10,5.0,0.01,0,0.0,10.11,2569.85
17,SELL_A,ST_FLIP_GREEN,2025-07-08T18:00:00,2025-07-09T04:00:00,short,2604.85,2609.85,100,0.1,260.49,100.0,-0.5,-10.61,-891.24,-0.01,0,0.0,5,0.19,-157.37,-13219.08,-0.16,26.05,0.1,10,5.0,0.01,0,0.0,10.11,2614.85
18,BUY_A,ST_FLIP_RED,2025-07-09T04:00:00,2025-07-09T08:00:00,long,2619.85,2614.85,100,0.1,261.99,100.0,-0.5,-10.61,-891.24,-0.01,0,0.0,5,0.19,-167.98,-14110.32,-0.17,26.2,0.1,10,5.0,0.01,0,0.0,10.11,2609.85
19,SELL_A,ST_FLIP_GREEN,2025-07-09T08:00:00,2025-07-09T10:00:00,short,2614.85,2624.85,100,0.1,261.49,100.0,-1.0,-11.11,-933.24,-0.01,0,0.0,10,0.38,-179.09,-15043.56,-0.18,26.15,0.1,10,5.0,0.01,0,0.0,10.11,2624.85
20,BUY_A,ST_FLIP_RED,2025-07-09T10:00:00,2025-07-10T08:00:00,long,2629.85,2774.85,100,0.1,262.99,100.0,14.5,4.39,368.76,0.0,145,5.51,0,0.0,-174.7,-14674.8,-0.17,26.3,0.1,10,5.0,0.01,0,0.0,10.11,2619.85
21,SELL_B,ST_FLIP_GREEN,2025-07-10T08:00:00,2025-07-10T16:00:00,short,2774.85,2784.85,100,0.1,277.49,100.0,-1.0,-11.11,-933.24,-0.01,0,0.0,10,0.36,-185.81,-15608.04,-0.19,27.75,0.1,10,5.0,0.01,0,0.0,10.11,2784.85
22,BUY_A,ST_FLIP_RED,2025-07-10T16:00:00,2025-07-10T18:00:00,long,2804.85,2814.85,100,0.1,280.49,100.0,1.0,-9.11,-765.24,-0.01,10,0.36,0,0.0,-194.92,-16373.28,-0.19,28.05,0.1,10,5.0,0.01,0,0.0,10.11,2794.85
23,SELL_B,ST_FLIP_GREEN,2025-07-10T18:00:00,2025-07-10T20:00:00,short,2814.85,2829.85,100,0.1,281.49,100.0,-1.5,-11.61,-975.24,-0.01,0,0.0,15,0.53,-206.53,-17348.52,-0.21,28.15,0.1,10,5.0,0.01,0,0.0,10.11,2824.85
