trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY,ST_FLIP_RED,2025-07-09T22:00:00,2025-07-14T20:00:00,long,109195,121195,100,0.1,10919.5,100.0,1200,1189.89,99950.76,1.19,12000,10.99,0,0.0,1189.89,99950.76,1.19,1091.95,0.1,10,5.0,0.01,0,0.0,10.11,108715
2,SELL,ST_FLIP_GREEN,2025-07-15T20:00:00,2025-07-16T12:00:00,short,116875,118075,100,0.1,11687.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.03,1059.78,89021.52,1.06,1168.75,0.1,10,5.0,0.01,0,0.0,10.11,117355
3,BUY,ST_FLIP_RED,2025-07-16T20:00:00,2025-07-17T16:00:00,long,119035,118075,100,0.1,11903.5,100.0,-96,-106.11,-8913.24,-0.11,0,0.0,960,0.81,953.67,80108.28,0.95,1190.35,0.1,10,5.0,0.01,0,0.0,10.11,118555
4,BUY,ST_FLIP_RED,2025-07-18T02:00:00,2025-07-18T18:00:00,long,119515,118795,100,0.1,11951.5,100.0,-72,-82.11,-6897.24,-0.08,0,0.0,720,0.6,871.56,73211.04,0.87,1195.15,0.1,10,5.0,0.01,0,0.0,10.11,119035
5,BUY,ST_FLIP_RED,2025-07-21T18:00:00,2025-07-21T20:00:00,long,119035,117835,100,0.1,11903.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.01,741.45,62281.8,0.74,1190.35,0.1,10,5.0,0.01,0,0.0,10.11,118555
6,SELL,ST_FLIP_RED,2025-07-22T18:00:00,2025-07-23T14:00:00,short,118555,118315,100,0.1,11855.5,100.0,24,13.89,1166.76,0.01,240,0.2,0,0.0,755.34,63448.56,0.76,1185.55,0.1,10,5.0,0.01,0,0.0,10.11,119035
7,SELL,ST_FLIP_GREEN,2025-07-24T08:00:00,2025-07-24T22:00:00,short,118075,119275,100,0.1,11807.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.02,625.23,52519.32,0.63,1180.75,0.1,10,5.0,0.01,0,0.0,10.11,118555
8,SELL,ST_FLIP_GREEN,2025-07-25T18:00:00,2025-07-26T00:00:00,short,115435,116635,100,0.1,11543.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.04,495.12,41590.08,0.5,1154.35,0.1,10,5.0,0.01,0,0.0,10.11,115915
9,BUY,ST_FLIP_RED,2025-07-31T20:00:00,2025-08-01T00:00:00,long,118555,117355,100,0.1,11855.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.01,365.01,30660.84,0.37,1185.55,0.1,10,5.0,0.01,0,0.0,10.11,118075
10,SELL,ST_FLIP_GREEN,2025-08-01T22:00:00,2025-08-03T20:00:00,short,114955,113755,100,0.1,11495.5,100.0,120,109.89,9230.76,0.11,1200,1.04,0,0.0,474.9,39891.6,0.47,1149.55,0.1,10,5.0,0.01,0,0.0,10.11,115435
11,BUY,ST_FLIP_RED,2025-08-05T02:00:00,2025-08-05T18:00:00,long,115195,113995,100,0.1,11519.5,100.0,-120,-130.11,-10929.24,-0.13,0,0.0,1200,1.04,344.79,28962.36,0.34,1151.95,0.1,10,5.0,0.01,0,0.0,10.11,114715
12,BUY,ST_FLIP_RED,2025-08-07T12:00:00,2025-08-08T20:00:00,long,115195,116155,100,0.1,11519.5,100.0,96,85.89,7214.76,0.09,960,0.83,0,0.0,430.68,36177.12,0.43,1151.95,0.1,10,5.0,0.01,0,0.0,10.11,114715
