Date,Time,Open,High,Low,Close,Volume
2026-06-26,12:00:00,59398.5,60196.5,58473.0,60152.5,4892899.0
2026-06-26,14:00:00,60159.5,60485.5,59365.0,60300.5,3954038.0
2026-06-26,16:00:00,60303.5,60572.5,59927.5,60005.0,2448195.0
2026-06-26,18:00:00,60008.5,60142.5,59545.5,59724.5,1645619.0
2026-06-26,20:00:00,59724.5,60034.5,59561.5,59894.0,503751.0
2026-06-26,22:00:00,59890.0,60097.5,59722.5,60078.5,182602.0
2026-06-27,00:00:00,60078.5,60174.5,59851.5,59929.5,294621.0
2026-06-27,02:00:00,59924.5,60393.5,59899.0,60287.5,847928.0
2026-06-27,04:00:00,60281.5,60477.5,60106.0,60214.0,978620.0
2026-06-27,06:00:00,60214.0,60561.0,60086.0,60528.5,1202635.0
2026-06-27,08:00:00,60528.5,60529.0,60267.0,60398.0,851965.0
2026-06-27,10:00:00,60398.0,60473.0,60168.0,60338.5,854247.0
2026-06-27,12:00:00,60338.5,60642.5,60228.0,60561.5,950467.0
2026-06-27,14:00:00,60561.5,60931.5,60485.5,60823.0,1471404.0
2026-06-27,16:00:00,60824.0,60840.0,60397.0,60501.5,1298526.0
2026-06-27,18:00:00,60501.5,60583.5,60059.0,60156.5,1065874.0
2026-06-27,20:00:00,60156.5,60464.5,60114.5,60179.0,451480.0
2026-06-27,22:00:00,60160.5,60301.0,59823.5,60007.0,523251.0
2026-06-28,00:00:00,60007.0,60258.0,59955.5,60200.0,410300.0
2026-06-28,02:00:00,60199.0,60321.0,60023.0,60175.5,482038.0
2026-06-28,04:00:00,60175.5,60212.0,59721.5,59963.0,904054.0
2026-06-28,06:00:00,59963.0,60245.0,59779.5,60199.0,990157.0
2026-06-28,08:00:00,60194.5,60537.0,60115.5,60236.5,1066937.0
2026-06-28,10:00:00,60236.5,60358.0,60043.0,60321.5,945052.0
2026-06-28,12:00:00,60321.5,60426.5,59940.5,60050.5,1055903.0
2026-06-28,14:00:00,60054.5,60235.0,59786.5,59855.0,1075402.0
2026-06-28,16:00:00,59856.0,59921.5,59372.0,59563.5,1704594.0
2026-06-28,18:00:00,59562.5,59678.0,59241.5,59456.5,597116.0
2026-06-28,20:00:00,59456.5,59777.5,59307.5,59424.5,448057.0
2026-06-28,22:00:00,59425.5,59889.5,58893.5,59556.5,809282.0
2026-06-29,00:00:00,59555.5,59684.5,58983.5,59418.5,685075.0
2026-06-29,02:00:00,59410.5,60219.0,58863.0,60026.5,1341607.0
2026-06-29,04:00:00,60026.5,60091.0,59365.5,60082.0,1225455.0
2026-06-29,06:00:00,60089.5,60330.0,59906.0,60004.5,1157245.0
2026-06-29,08:00:00,60004.5,60093.5,59718.0,60038.0,1131396.0
2026-06-29,10:00:00,60040.5,60295.0,59775.0,59932.5,1453963.0
2026-06-29,12:00:00,59938.0,60765.0,59308.0,59565.5,4228861.0
2026-06-29,14:00:00,59564.5,59945.5,58993.5,59806.5,3690651.0
2026-06-29,16:00:00,59805.5,60673.5,59568.0,60401.0,2840479.0
2026-06-29,18:00:00,60402.0,60546.5,60135.0,60418.5,1197178.0
2026-06-29,20:00:00,60410.0,60574.0,60238.0,60461.5,320229.0
2026-06-29,22:00:00,60460.5,60500.0,60156.0,60230.5,182290.0
2026-06-30,00:00:00,60226.5,60256.5,59674.0,59926.0,767437.0
2026-06-30,02:00:00,59931.0,60028.0,59576.0,59601.5,887004.0
2026-06-30,04:00:00,59602.5,59678.5,59333.0,59633.0,1203357.0
2026-06-30,06:00:00,59633.0,59701.5,59428.0,59504.0,716136.0
2026-06-30,08:00:00,59503.0,59539.0,59162.0,59354.0,1006684.0
2026-06-30,10:00:00,59354.0,59408.0,59105.5,59167.5,1074049.0
2026-06-30,12:00:00,59167.0,59167.0,58205.5,58717.0,4032111.0
2026-06-30,14:00:00,58718.0,59253.5,58175.0,58361.5,4064017.0
2026-06-30,16:00:00,58374.5,58622.5,58238.5,58402.0,1839597.0
2026-06-30,18:00:00,58402.0,58819.0,58339.0,58798.0,1313415.0
2026-06-30,20:00:00,58794.0,58856.0,58485.0,58614.0,515866.0
2026-06-30,22:00:00,58627.0,58785.5,58483.0,58611.5,225597.0
2026-07-01,00:00:00,58618.5,58997.0,57766.0,58747.0,1593414.0
2026-07-01,02:00:00,58751.5,59296.5,58642.0,59175.0,1446626.0
2026-07-01,04:00:00,59176.0,59449.5,59036.0,59127.5,1138615.0
2026-07-01,06:00:00,59129.0,59136.0,58505.5,58749.5,1581263.0
2026-07-01,08:00:00,58750.0,59076.0,58472.0,58927.5,1446996.0
2026-07-01,10:00:00,58928.5,58929.0,58530.0,58598.0,1241552.0
2026-07-01,12:00:00,58598.0,59492.5,58300.0,59469.5,3349362.0
2026-07-01,14:00:00,59468.5,60526.5,59245.0,60125.5,4569633.0
2026-07-01,16:00:00,60124.5,60250.0,59768.0,60172.5,2139140.0
2026-07-01,18:00:00,60172.5,60339.5,59969.5,60005.0,1340760.0
2026-07-01,20:00:00,60007.0,60835.0,59848.0,60805.5,1037130.0
2026-07-01,22:00:00,60806.5,61321.5,59954.0,59995.5,826190.0
2026-07-02,00:00:00,59993.5,60301.0,59560.5,60156.5,1232070.0
2026-07-02,02:00:00,60156.5,61108.0,59995.0,61039.5,1377958.0
2026-07-02,04:00:00,61035.0,61038.5,60461.0,60485.5,1315055.0
2026-07-02,06:00:00,60487.0,60630.0,60086.5,60133.0,1374639.0
2026-07-02,08:00:00,60132.5,61437.5,60119.5,61166.5,2178966.0
2026-07-02,10:00:00,61160.0,61366.0,61033.0,61337.0,1646735.0
2026-07-02,12:00:00,61333.5,62034.0,61115.5,61920.5,3621168.0
2026-07-02,14:00:00,61919.5,62186.5,61374.0,61587.0,3578402.0
2026-07-02,16:00:00,61597.5,61906.5,61120.5,61650.0,2417786.0
2026-07-02,18:00:00,61649.0,61854.0,61402.0,61459.0,1037812.0
2026-07-02,20:00:00,61473.5,61640.5,61320.0,61577.5,420711.0
2026-07-02,22:00:00,61576.5,61595.0,61339.0,61546.5,170778.0
2026-07-03,00:00:00,61546.5,61717.0,61235.0,61573.5,663941.0
