Column_Index,Column_Type,Column_End_Level,Timestamp,SMA10,SMA20,ADX,ADX_Check,SMA_Check,Trendline_Break,Higher_High,Trendline_or_HigherHigh,Double_Bottom,Entry_Signal
2,X,105803.00,1749326400,None,None,None,False,False,False,False,False,False,False
3,O,105103.50,1749373200,None,None,None,False,False,False,False,False,False,False
4,X,106144.50,1749398400,None,None,None,False,False,False,False,False,False,False
5,O,105487.50,1749430800,None,None,None,False,False,False,False,False,False,False
6,X,107717.50,1749466800,None,None,None,False,False,False,False,False,False,False
7,O,106991.50,1749474000,None,None,None,False,False,False,False,False,False,False
8,X,110143.00,1749506400,None,None,None,False,False,False,False,False,False,False
9,O,109061.50,1749542400,106643.75,None,None,False,False,False,False,False,False,False
10,X,109653.50,1749556800,107080.75,None,None,False,False,False,False,False,False,False
11,O,108596.00,1749564000,107470.15,None,None,False,False,False,False,False,False,False
12,X,110247.00,1749596400,107914.55,None,None,False,False,False,False,False,False,False
13,O,109229.50,1749632400,108327.15,None,81.15,True,True,False,True,True,False,False
14,X,109842.50,1749650400,108696.95,None,86.84,True,True,True,False,True,False,False
15,O,106873.50,1749726000,108835.55,None,87.31,True,True,True,False,True,True,True
16,X,107571.00,1749736800,108820.90,None,80.63,True,True,True,False,True,True,True
17,O,106971.00,1749740400,108818.85,None,73.94,True,True,True,False,True,False,False
18,X,108251.00,1749747600,108629.65,None,68.12,True,True,False,True,True,False,False
19,O,103744.50,1749772800,108097.95,107370.85,63.01,True,False,False,False,False,False,False
20,X,105741.00,1749830400,107706.70,107393.73,57.89,True,True,True,False,True,True,True
21,O,105147.00,1749837600,107361.80,107415.98,52.78,True,True,True,False,True,False,False
22,X,106041.50,1749855600,106941.25,107427.90,47.27,True,True,False,True,True,False,False
23,O,104410.50,1749916800,106459.35,107393.25,42.32,True,True,False,True,True,True,True
24,X,106041.50,1749963600,106079.25,107388.10,37.38,True,True,True,False,True,True,True
25,O,104893.00,1749978000,105881.20,107358.38,34.12,True,True,True,False,True,False,False
26,X,105651.00,1750006800,105689.20,107255.05,30.62,True,True,True,False,True,False,False
27,O,104690.00,1750017600,105461.10,107139.98,27.30,True,True,True,False,True,True,True
28,X,108605.50,1750100400,105496.55,107063.10,22.73,True,True,False,True,True,True,True
29,O,106760.50,1750114800,105798.15,106948.05,23.39,True,True,False,True,True,False,False
30,X,107447.50,1750125600,105968.80,106837.75,24.05,True,True,True,False,True,False,False
31,O,103585.50,1750176000,105812.65,106587.23,25.20,True,True,True,False,True,True,True
32,X,105410.00,1750219200,105749.50,106345.38,25.49,True,True,True,False,True,True,True
33,O,104229.50,1750240800,105731.40,106095.38,25.07,True,True,True,False,True,False,False
34,X,104802.00,1750244400,105607.45,105843.35,24.65,True,True,True,False,True,False,False
35,O,103575.00,1750269600,105475.65,105678.43,24.70,True,True,True,False,True,True,True
36,X,105051.00,1750280400,105415.65,105552.43,24.84,True,True,False,True,True,True,True
37,O,104568.50,1750294800,105403.50,105432.30,24.41,True,True,False,True,True,False,False
38,X,105064.50,1750302000,105049.40,105272.98,23.96,True,True,False,True,True,False,False
39,O,104066.00,1750345200,104779.95,105289.05,23.92,True,True,False,True,True,True,True
40,X,104743.50,1750381200,104509.55,105239.18,23.89,True,True,True,False,True,True,True
41,O,104230.00,1750392000,104574.00,105193.32,23.67,True,True,True,False,True,False,False
42,X,105940.00,1750417200,104627.00,105188.25,22.98,True,True,False,True,True,False,False
43,O,103067.00,1750456800,104510.75,105121.07,23.38,True,True,False,True,True,True,True
44,X,103778.00,1750492800,104408.35,105007.90,23.78,True,True,True,False,True,True,True
45,O,102218.50,1750532400,104272.70,104874.18,24.38,True,True,True,False,True,True,True
46,X,102734.50,1750536000,104041.05,104728.35,24.98,True,True,True,False,True,True,True
47,O,101403.50,1750539600,103724.55,104564.02,26.17,True,True,True,False,True,True,True
48,X,102806.00,1750550400,103498.70,104274.05,27.24,True,True,False,True,True,True,True
49,O,102328.00,1750557600,103324.90,104052.43,27.85,True,True,False,True,True,False,False
50,X,102822.50,1750568400,103132.80,103821.18,28.74,True,True,False,True,True,False,False
51,O,102169.00,1750582800,102926.70,103750.35,29.76,True,True,False,True,True,True,True
52,X,102703.50,1750590000,102603.05,103615.02,30.81,True,True,True,False,True,True,True
53,O,98858.50,1750604400,102182.20,103346.48,33.26,True,False,False,False,False,False,False
54,X,99618.00,1750608000,101766.20,103087.27,35.71,True,True,True,False,True,True,True
55,O,98840.00,1750618800,101428.35,102850.52,38.16,True,True,True,False,True,False,False
56,X,101895.00,1750658400,101344.40,102692.73,39.25,True,True,False,True,True,False,False
57,O,101266.50,1750676400,101330.70,102527.62,39.23,True,True,False,True,True,False,False
58,X,102314.50,1750683600,101281.55,102390.12,38.76,True,True,False,True,True,False,False
59,O,100652.50,1750694400,101114.00,102219.45,38.07,True,True,False,True,True,True,True
60,X,105512.00,1750716000,101382.95,102257.88,36.97,True,False,False,False,False,False,False
61,O,104731.50,1750730400,101639.20,102282.95,35.28,True,True,False,True,True,False,False
