Column_Index,Column_Type,Column_End_Level,Timestamp,SMA10,SMA20,ADX,ADX_Check,SMA_Check,Trendline_Break,Higher_High,Trendline_or_HigherHigh,Double_Bottom,Entry_Signal,Timestamp_Readable
2,X,105803.0,1749326400,,,,False,False,False,False,False,False,False,2025-06-07 20:00:00
3,O,105103.5,1749373200,,,,False,False,False,False,False,False,False,2025-06-08 09:00:00
4,X,106144.5,1749398400,,,,False,False,False,False,False,False,False,2025-06-08 16:00:00
5,O,105487.5,1749430800,,,,False,False,False,False,False,False,False,2025-06-09 01:00:00
6,X,107717.5,1749466800,,,,False,False,False,False,False,False,False,2025-06-09 11:00:00
7,O,106991.5,1749474000,,,,False,False,False,False,False,False,False,2025-06-09 13:00:00
8,X,110143.0,1749506400,,,,False,False,False,False,False,False,False,2025-06-09 22:00:00
9,O,109061.5,1749542400,106643.75,,,False,False,False,False,False,False,False,2025-06-10 08:00:00
10,X,109653.5,1749556800,107080.75,,,False,False,False,False,False,False,False,2025-06-10 12:00:00
11,O,108596.0,1749564000,107470.15,,,False,False,False,False,False,False,False,2025-06-10 14:00:00
12,X,110247.0,1749596400,107914.55,,,False,False,False,False,False,False,False,2025-06-10 23:00:00
13,O,109229.5,1749632400,108327.15,,81.15,True,True,False,True,True,False,False,2025-06-11 09:00:00
14,X,109842.5,1749650400,108696.95,,86.84,True,True,True,False,True,False,False,2025-06-11 14:00:00
15,O,106873.5,1749726000,108835.55,,87.31,True,True,True,False,True,True,True,2025-06-12 11:00:00
16,X,107571.0,1749736800,108820.9,,80.63,True,True,True,False,True,True,True,2025-06-12 14:00:00
17,O,106971.0,1749740400,108818.85,,73.94,True,True,True,False,True,False,False,2025-06-12 15:00:00
18,X,108251.0,1749747600,108629.65,,68.12,True,True,False,True,True,False,False,2025-06-12 17:00:00
19,O,103744.5,1749772800,108097.95,107370.85,63.01,True,False,False,False,False,False,False,2025-06-13 00:00:00
20,X,105741.0,1749830400,107706.7,107393.73,57.89,True,True,True,False,True,True,True,2025-06-13 16:00:00
21,O,105147.0,1749837600,107361.8,107415.98,52.78,True,True,True,False,True,False,False,2025-06-13 18:00:00
22,X,106041.5,1749855600,106941.25,107427.9,47.27,True,True,False,True,True,False,False,2025-06-13 23:00:00
23,O,104410.5,1749916800,106459.35,107393.25,42.32,True,True,False,True,True,True,True,2025-06-14 16:00:00
24,X,106041.5,1749963600,106079.25,107388.1,37.38,True,True,True,False,True,True,True,2025-06-15 05:00:00
25,O,104893.0,1749978000,105881.2,107358.38,34.12,True,True,True,False,True,False,False,2025-06-15 09:00:00
26,X,105651.0,1750006800,105689.2,107255.05,30.62,True,True,True,False,True,False,False,2025-06-15 17:00:00
27,O,104690.0,1750017600,105461.1,107139.98,27.3,True,True,True,False,True,True,True,2025-06-15 20:00:00
28,X,108605.5,1750100400,105496.55,107063.1,22.73,True,True,False,True,True,True,True,2025-06-16 19:00:00
29,O,106760.5,1750114800,105798.15,106948.05,23.39,True,True,False,True,True,False,False,2025-06-16 23:00:00
30,X,107447.5,1750125600,105968.8,106837.75,24.05,True,True,True,False,True,False,False,2025-06-17 02:00:00
31,O,103585.5,1750176000,105812.65,106587.23,25.2,True,True,True,False,True,True,True,2025-06-17 16:00:00
32,X,105410.0,1750219200,105749.5,106345.38,25.49,True,True,True,False,True,True,True,2025-06-18 04:00:00
33,O,104229.5,1750240800,105731.4,106095.38,25.07,True,True,True,False,True,False,False,2025-06-18 10:00:00
34,X,104802.0,1750244400,105607.45,105843.35,24.65,True,True,True,False,True,False,False,2025-06-18 11:00:00
35,O,103575.0,1750269600,105475.65,105678.43,24.7,True,True,True,False,True,True,True,2025-06-18 18:00:00
36,X,105051.0,1750280400,105415.65,105552.43,24.84,True,True,False,True,True,True,True,2025-06-18 21:00:00
37,O,104568.5,1750294800,105403.5,105432.3,24.41,True,True,False,True,True,False,False,2025-06-19 01:00:00
38,X,105064.5,1750302000,105049.4,105272.98,23.96,True,True,False,True,True,False,False,2025-06-19 03:00:00
39,O,104066.0,1750345200,104779.95,105289.05,23.92,True,True,False,True,True,True,True,2025-06-19 15:00:00
40,X,104743.5,1750381200,104509.55,105239.18,23.89,True,True,True,False,True,True,True,2025-06-20 01:00:00
41,O,104230.0,1750392000,104574.0,105193.32,23.67,True,True,True,False,True,False,False,2025-06-20 04:00:00
42,X,105940.0,1750417200,104627.0,105188.25,22.98,True,True,False,True,True,False,False,2025-06-20 11:00:00
43,O,103067.0,1750456800,104510.75,105121.07,23.38,True,True,False,True,True,True,True,2025-06-20 22:00:00
44,X,103778.0,1750492800,104408.35,105007.9,23.78,True,True,True,False,True,True,True,2025-06-21 08:00:00
45,O,102218.5,1750532400,104272.7,104874.18,24.38,True,True,True,False,True,True,True,2025-06-21 19:00:00
46,X,102734.5,1750536000,104041.05,104728.35,24.98,True,True,True,False,True,True,True,2025-06-21 20:00:00
47,O,101403.5,1750539600,103724.55,104564.02,26.17,True,True,True,False,True,True,True,2025-06-21 21:00:00
48,X,102806.0,1750550400,103498.7,104274.05,27.24,True,True,False,True,True,True,True,2025-06-22 00:00:00
49,O,102328.0,1750557600,103324.9,104052.43,27.85,True,True,False,True,True,False,False,2025-06-22 02:00:00
50,X,102822.5,1750568400,103132.8,103821.18,28.74,True,True,False,True,True,False,False,2025-06-22 05:00:00
51,O,102169.0,1750582800,102926.7,103750.35,29.76,True,True,False,True,True,True,True,2025-06-22 09:00:00
52,X,102703.5,1750590000,102603.05,103615.02,30.81,True,True,True,False,True,True,True,2025-06-22 11:00:00
53,O,98858.5,1750604400,102182.2,103346.48,33.26,True,False,False,False,False,False,False,2025-06-22 15:00:00
54,X,99618.0,1750608000,101766.2,103087.27,35.71,True,True,True,False,True,True,True,2025-06-22 16:00:00
55,O,98840.0,1750618800,101428.35,102850.52,38.16,True,True,True,False,True,False,False,2025-06-22 19:00:00
56,X,101895.0,1750658400,101344.4,102692.73,39.25,True,True,False,True,True,False,False,2025-06-23 06:00:00
57,O,101266.5,1750676400,101330.7,102527.62,39.23,True,True,False,True,True,False,False,2025-06-23 11:00:00
58,X,102314.5,1750683600,101281.55,102390.12,38.76,True,True,False,True,True,False,False,2025-06-23 13:00:00
59,O,100652.5,1750694400,101114.0,102219.45,38.07,True,True,False,True,True,True,True,2025-06-23 16:00:00
60,X,105512.0,1750716000,101382.95,102257.88,36.97,True,False,False,False,False,False,False,2025-06-23 22:00:00
61,O,104731.5,1750730400,101639.2,102282.95,35.28,True,True,False,True,True,False,False,2025-06-24 02:00:00
62,X,105617.0,1750744800,101930.55,102266.8,33.77,True,False,False,False,False,False,False,2025-06-24 06:00:00
63,O,104902.5,1750748400,102534.95,102358.57,32.26,True,True,False,True,True,False,False,2025-06-24 07:00:00
64,X,106170.5,1750780800,103190.2,102478.2,31.17,True,True,False,True,True,False,False,2025-06-24 16:00:00
65,O,105486.0,1750788000,103854.8,102641.57,29.95,True,True,False,True,True,False,False,2025-06-24 18:00:00
66,X,107880.5,1750856400,104453.35,102898.88,29.78,True,False,False,False,False,False,False,2025-06-25 13:00:00
67,O,106996.5,1750863600,105026.35,103178.52,27.79,True,True,False,True,True,False,False,2025-06-25 15:00:00
68,X,107889.0,1750903200,105583.8,103432.68,25.8,True,True,False,True,True,False,False,2025-06-26 02:00:00
69,O,107071.0,1750939200,106225.65,103669.82,23.8,True,True,False,True,True,False,False,2025-06-26 12:00:00
70,X,107739.0,1750968000,106448.35,103915.65,24.92,True,True,True,False,True,False,False,2025-06-26 20:00:00
71,O,106634.0,1750982400,106638.6,104138.9,25.39,True,True,True,False,True,True,True,2025-06-27 00:00:00
72,X,107438.5,1750993200,106820.75,104375.65,26.33,True,True,True,False,True,True,True,2025-06-27 03:00:00
73,O,106643.0,1751025600,106994.8,104764.88,26.8,True,True,True,False,True,False,False,2025-06-27 12:00:00
74,X,107272.5,1751036400,107105.0,105147.6,27.68,True,True,True,False,True,False,False,2025-06-27 15:00:00
