entry_ts,exit_ts,dir,lots,bt_entry,lv_entry,bt_exit,lv_exit,total_charges
2026-09-10T16:00:00,2026-09-10T18:00:00,long,100,77285.0,77307.5,77193.0,77166.0,9.1139365
2026-09-10T22:00:00,2026-09-11T00:00:00,short,100,77055.0,76560.5,76687.0,76964.0,9.057945499999999
2026-09-11T04:00:00,2026-09-11T08:00:00,long,100,76963.0,PENDING,77101.0,77009.0,4.543531
2026-09-11T08:00:00,2026-09-11T12:00:00,short,100,77101.0,PENDING,77101.0,79241.0,4.675219
2026-09-11T12:00:00,2026-09-11T14:00:00,long,100,77147.0,79285.5,79125.0,77750.0,9.2650945
2026-09-11T14:00:00,2026-09-11T22:00:00,short,100,79125.0,77776.0,77239.0,77206.07,9.14394213
2026-09-11T22:00:00,2026-09-12T16:00:00,long,100,77239.0,77206.115,77193.0,77184.0,9.109016789999998
2026-09-12T20:00:00,2026-09-13T02:00:00,long,100,77239.0,77234.57,77147.0,77179.5,9.110430130000001
2026-09-13T04:00:00,2026-09-13T06:00:00,long,100,77331.0,77297.2,77147.0,77094.0,9.109080800000001
2026-09-13T06:00:00,2026-09-13T14:00:00,short,100,77147.0,PENDING,76917.0,77135.485,4.55099362
2026-09-13T14:00:00,2026-09-13T22:00:00,long,100,76917.0,77134.775,77147.0,76834.0,9.08415773
2026-09-13T22:00:00,2026-09-14T00:00:00,short,100,77147.0,76829.5,76917.0,77107.5,9.082283
2026-09-14T00:00:00,2026-09-14T10:00:00,long,100,76917.0,77114.0,77975.0,77733.0,9.135973
2026-09-14T10:00:00,2026-09-14T12:00:00,short,100,77975.0,77733.0,77883.0,78194.29,9.19971012
2026-09-14T12:00:00,2026-09-14T20:00:00,long,100,77929.0,78232.5,78803.0,78761.0,9.2626165
2026-09-14T20:00:00,2026-09-15T16:00:00,short,100,78803.0,PENDING,76641.0,76930.75,4.53891425
2026-09-15T16:00:00,2026-09-15T18:00:00,long,100,76641.0,76919.86,76825.0,75962.0,9.02002974
2026-09-15T18:00:00,2026-09-15T22:00:00,short,100,76779.0,75962.0,75583.0,76541.8,8.9977242
2026-09-15T22:00:00,2026-09-16T00:00:00,long,100,75583.0,76541.8,75491.0,75952.0,8.997134200000001
2026-09-16T06:00:00,2026-09-16T08:00:00,short,100,75752.5,PENDING,75860.5,75973.5,4.4824365
2026-09-16T08:00:00,2026-09-16T12:00:00,long,100,75906.5,75973.5,76072.0,75625.0,8.944311500000001
2026-09-16T12:00:00,2026-09-16T14:00:00,short,100,76072.0,75629.5,75751.0,75773.5,8.932777000000002
2026-09-16T14:00:00,2026-09-16T20:00:00,long,100,75751.0,75769.52,75914.0,75969.0,8.95257268
2026-09-16T20:00:00,2026-09-16T22:00:00,short,100,75914.0,75960.0,76052.0,76345.5,8.9860245
