"Trade #","Type","Signal","Date and time","Price INR"
"1","Entry Long","Buy","2024-03-16 00:00","70278.5"
"1","Exit Long","Sell","2024-03-14 19:30","72207"
"2","Entry Long","Buy","2024-02-19 17:00","52354.5"
"2","Exit Long","Sell","2024-02-19 03:30","52246"
"3","Entry Long","Buy","2024-04-30 05:30","64011.5"
"3","Exit Long","Sell","2024-04-30 03:30","63501"
"4","Entry Long","Buy","2024-03-26 00:30","70650.5"
"4","Exit Long","Sell","2024-03-25 19:30","69209"
"5","Entry Long","Buy","2024-06-12 23:00","69820.5"
"5","Exit Long","Sell","2024-06-12 18:30","69217"
"6","Entry Long","Buy","2024-07-27 07:30","67805.5"
"6","Exit Long","Sell","2024-07-26 20:30","67640.5"
"7","Entry Long","Buy","2024-08-24 03:00","64383"
"7","Exit Long","Sell","2024-08-24 00:30","63669"
"8","Entry Long","Buy","2024-08-17 00:30","59761.5"
"8","Exit Long","Sell","2024-08-16 23:30","59338.5"
"9","Entry Long","Buy","2024-08-02 03:00","64906"
"9","Exit Long","Sell","2024-08-02 02:30","64812"
"10","Entry Long","Buy","2024-10-12 02:00","62985.5"
"10","Exit Long","Sell","2024-10-11 20:30","62153"
"11","Entry Long","Buy","2024-09-27 21:30","66081"
"11","Exit Long","Sell","2024-09-27 19:30","66269.5"
"12","Entry Long","Buy","2024-09-10 02:30","57669.5"
"12","Exit Long","Sell","2024-09-09 21:30","56083"
"13","Entry Long","Buy","2024-11-29 07:30","96481.5"
"13","Exit Long","Sell","2024-11-28 14:30","95393"
"14","Entry Long","Buy","2024-11-16 23:30","91236.5"
"14","Exit Long","Sell","2024-11-16 20:30","90399.5"
"15","Entry Long","Buy","2024-12-22 18:30","97184.5"
"15","Exit Long","Sell","2024-12-22 01:30","97806.5"
"16","Entry Long","Buy","2024-12-22 01:00","97242.5"
"16","Exit Long","Sell","2024-12-21 23:30","97510"
"17","Entry Long","Buy","2024-12-16 23:00","107026"
"17","Exit Long","Sell","2024-12-16 20:30","106259"
"18","Entry Long","Buy","2024-12-07 01:00","101533"
"18","Exit Long","Sell","2024-12-06 23:30","101609"
"19","Entry Long","Buy","2024-11-29 21:00","98091.5"
"19","Exit Long","Sell","2024-11-29 15:30","96629.5"
"20","Entry Long","Buy","2025-01-22 02:30","106172"
"20","Exit Long","Sell","2025-01-21 23:30","106369.5"
"21","Entry Long","Buy","2025-01-10 22:30","94326"
"21","Exit Long","Sell","2025-01-10 14:30","94897"
"22","Entry Long","Buy","2025-03-16 23:30","83984.5"
"22","Exit Long","Sell","2025-03-16 21:30","84319.5"
"23","Entry Long","Buy","2025-06-11 22:00","109411"
"23","Exit Long","Sell","2025-06-11 16:30","109231.5"
"24","Entry Long","Buy","2025-07-03 18:30","109274"
"24","Exit Long","Sell","2025-07-03 14:30","109950.5"
"25","Entry Long","Buy","2025-10-03 21:00","122250.5"
"25","Exit Long","Sell","2025-10-03 20:30","121260"
"26","Entry Long","Buy","2025-09-26 23:00","109857.5"
"26","Exit Long","Sell","2025-09-25 09:30","111892"
"27","Entry Long","Buy","2025-11-25 01:30","88816"
"27","Exit Long","Sell","2025-11-24 23:30","88322.5"
