2026-09-26 18:14:36,973 INFO [WAIT] now=2026-09-26T18:14:36 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:37,475 INFO [WAIT] now=2026-09-26T18:14:37 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:37,976 INFO [WAIT] now=2026-09-26T18:14:37 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:38,478 INFO [WAIT] now=2026-09-26T18:14:38 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:38,980 INFO [WAIT] now=2026-09-26T18:14:38 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:39,481 INFO [WAIT] now=2026-09-26T18:14:39 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:39,982 INFO [WAIT] now=2026-09-26T18:14:39 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:40,483 INFO [WAIT] now=2026-09-26T18:14:40 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:40,984 INFO [WAIT] now=2026-09-26T18:14:40 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:41,486 INFO [WAIT] now=2026-09-26T18:14:41 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:41,987 INFO [WAIT] now=2026-09-26T18:14:41 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:42,488 INFO [WAIT] now=2026-09-26T18:14:42 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:42,990 INFO [WAIT] now=2026-09-26T18:14:42 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:43,492 INFO [WAIT] now=2026-09-26T18:14:43 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:43,993 INFO [WAIT] now=2026-09-26T18:14:43 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:44,494 INFO [WAIT] now=2026-09-26T18:14:44 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:44,995 INFO [WAIT] now=2026-09-26T18:14:44 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:45,497 INFO [WAIT] now=2026-09-26T18:14:45 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:45,998 INFO [WAIT] now=2026-09-26T18:14:45 | position=short | last_known_ts=2026-09-26T00:00:00
2026-09-26 18:14:46,499 INFO [WAIT] now=2026-09-26T18:14:46 | position=short | last_known_ts=2026-09-26T00:00:00
