REAL DELTA FILLS-BASED REPORT: 2026-08-21 to 2026-09-26 (UTC)

=== DATE: 2026-08-21 ===

S4 | BT trades: 7 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 04:00/74939 vs 03:00/74412.45 | 06:00/74617 vs 06:00/79000.0 | -3576s | 7s | $-490.96 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 06:00/74617 vs 06:10/75546.65 | 12:00/77745 vs 12:00/76788.0 | 638s | 5s | $-188.66 | ENTRY_DELAY,SLIPPAGE |
| short | 12:00/77745 vs 12:00/76776.0 | 14:00/76871 vs 14:00/77253.0 | 11s | 6s | $-135.1 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 14:00/76871 vs 14:00/77206.0 | 20:00/77239 vs 20:00/76988.0 | 12s | 7s | $-58.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 20:00/77239 vs 20:00/76899.0 | 22:00/77101 vs 21:30/78217.64 | 14s | -1777s | $-145.66 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 22:00/77147 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 00:00/78389 vs 00:00/78297.0 | 04:00/77975 vs 03:00/78420.0 | 8s | -3557s | $-53.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

S4V2 | BT trades: 19 | LIVE trades: 25
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 00:30/73191 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 02:30/74939 vs 02:30/75000.0 | 03:30/74571 vs 03:30/78000.0 | 9s | 6s | $-336.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 03:30/74617 vs 03:30/74625.55 | 04:00/74479 vs 04:00/74537.0 | 22s | 4s | $4.94 | ENTRY_DELAY |
| short | 04:00/74479 vs 04:00/74572.0 | 04:30/74617 vs 04:30/80000.0 | 8s | 5s | $-529.0 | ENTRY_DELAY,SLIPPAGE |
| long | 04:30/74617 vs 04:44/75180.0 | 09:30/79125 vs 09:30/77710.0 | 868s | 4s | $-197.8 | ENTRY_DELAY,SLIPPAGE |
| short | 09:30/79125 vs 09:30/77692.0 | 10:00/77837 vs 09:44/78320.0 | 9s | -952s | $-191.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 10:00/77837 vs 10:00/77946.08 | 11:00/77791 vs 11:00/77826.0 | 10s | 6s | $-7.41 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 11:30/77607 vs 11:30/77440.0 | 13:00/76871 vs 13:00/77267.0 | 5s | 5s | $-56.3 | SLIPPAGE |
| long | 13:00/76871 vs 13:00/77211.0 | 13:30/77101 vs 13:30/76930.5 | 10s | 6s | $-51.05 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 14:00/77239 vs 14:00/77239.92 | 14:30/77147 vs 14:19/76573.0 | 4s | -642s | $-57.49 | EXIT_DELAY,SLIPPAGE |
| short | 14:30/77101 vs 14:30/77089.0 | 15:00/77193 vs 15:00/77378.0 | 17s | 10s | $-19.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 15:00/77193 vs 15:00/77385.0 | 16:00/77469 vs 16:00/77255.0 | 15s | 10s | $-40.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 16:00/77469 vs 16:00/77229.0 | 16:30/77331 vs 16:30/77345.0 | 14s | 25s | $-25.4 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 16:30/77423 vs 16:30/77360.0 | 18:00/77377 vs 18:00/77398.0 | 30s | 10s | $8.4 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 18:00/77377 vs 18:00/77376.0 | 19:30/77285 vs 19:30/77302.0 | 15s | 6s | $-1.8 | ENTRY_DELAY,EXIT_DELAY |
| long | 19:30/77331 vs 19:30/77327.0 | 20:00/77193 vs 20:00/76970.0 | 11s | 8s | $-21.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 20:00/77193 vs 20:00/76894.0 | 20:30/77101 vs 20:24/77509.39 | 12s | -337s | $-70.74 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 20:30/77101 vs 20:30/77478.42 | 00:00/78343 vs 00:00/78310.0 | 11s | 11s | $-41.04 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 00:00/78343 vs 00:00/78293.0 | 02:30/77975 vs 02:30/78374.0 | 16s | 7s | $-44.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | NO_BT_SIGNAL vs 00:00/73519.1 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:05/73519.1 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:10/73775.51 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 00:15/73626.6 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 00:55/73824.47 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 09:45/78265.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 14:20/76642.36 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 20:25/77486.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-22 ===

S4 | BT trades: 7 | LIVE trades: 6
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 04:00/77975 vs 03:00/78426.0 | 06:00/78297 vs 05:10/77112.0 | -3551s | -2950s | $-163.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 06:00/78297 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 14:00/77193 vs 12:00/77146.0 | 16:00/77193 vs 16:00/77025.0 | -7192s | 33s | $-12.1 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 16:00/77101 vs 16:00/77005.0 | 18:00/77101 vs 18:00/77299.98 | 40s | 14s | $-29.5 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 18:00/77101 vs 18:00/77298.98 | 22:00/77285 vs 22:00/76953.0 | 21s | 11s | $-53.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 22:00/77285 vs 22:00/76932.0 | 00:00/76963 vs 00:00/77116.28 | 18s | 11s | $-50.63 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 00:00/76963 vs 00:00/77135.28 | 04:00/77055 vs 03:00/77104.0 | 18s | -3559s | $-12.33 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

S4V2 | BT trades: 15 | LIVE trades: 15
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| long | 02:30/78021 vs 02:30/78401.0 | 04:00/78573 vs 04:00/78413.7 | 13s | 4s | $-53.93 | ENTRY_DELAY,SLIPPAGE |
| short | 04:00/78573 vs 04:00/78426.0 | 04:30/78527 vs 04:30/78569.0 | 8s | 8s | $-18.9 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 04:30/78619 vs 04:30/78590.33 | 05:00/78481 vs 05:00/78455.0 | 13s | 5s | $0.27 | ENTRY_DELAY |
| short | 05:00/78481 vs 05:00/78468.0 | 07:00/77423 vs 07:00/77485.0 | 11s | 5s | $-7.5 | ENTRY_DELAY,SLIPPAGE |
| long | 07:00/77423 vs 07:00/77500.0 | 08:00/77377 vs 08:00/77285.46 | 10s | 8s | $-16.85 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 10:00/77193 vs 10:00/77060.0 | 12:00/77101 vs 12:00/77136.0 | 11s | 12s | $-16.8 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 12:00/77101 vs 12:00/77125.0 | 13:30/77193 vs 13:30/77195.0 | 17s | 7s | $-2.2 | ENTRY_DELAY,EXIT_DELAY |
| long | 14:00/77285 vs 14:00/77300.53 | 14:30/77193 vs 14:30/77121.0 | 9s | 10s | $-8.75 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 14:30/77147 vs 14:30/77137.0 | 16:30/77147 vs 16:30/77219.27 | 16s | 4s | $-8.23 | ENTRY_DELAY,SLIPPAGE |
| long | 16:30/77147 vs 16:30/77216.0 | 17:30/77147 vs 17:30/77133.0 | 10s | 8s | $-8.3 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 17:30/77101 vs 17:30/77150.0 | 18:00/77239 vs 18:00/77299.98 | 13s | 8s | $-1.2 | ENTRY_DELAY,EXIT_DELAY |
| long | 18:00/77239 vs 18:00/77299.98 | 20:30/77285 vs 20:30/77317.0 | 13s | 6s | $-2.9 | ENTRY_DELAY,EXIT_DELAY |
| short | 21:30/77239 vs 21:30/77212.0 | 22:30/77009 vs 22:30/77056.0 | 26s | 10s | $-7.4 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 22:30/77055 vs 22:30/77067.52 | 23:00/76963 vs 23:00/77029.0 | 14s | 10s | $5.35 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 00:00/77101 vs 00:00/77116.28 | 02:30/77147 vs 02:30/77135.0 | 15s | 4s | $-2.73 | ENTRY_DELAY |

=== DATE: 2026-08-23 ===

S4 | BT trades: 4 | LIVE trades: 5
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 04:00/77009 vs 04:00/76948.0 | 10:00/76181 vs 10:00/76551.0 | 22s | 5s | $-43.1 | ENTRY_DELAY,SLIPPAGE |
| long | 10:00/76181 vs 10:00/76551.69 | 16:00/77331 vs 16:00/77152.0 | 11s | 10s | $-54.97 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 16:00/77331 vs 16:00/77180.0 | 20:00/77239 vs 18:24/77295.0 | 18s | -5702s | $-20.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 20:00/77285 vs 18:26/77338.0 | 02:00/77653 vs 02:00/76941.0 | -5623s | 7s | $-76.5 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |

S4V2 | BT trades: 12 | LIVE trades: 35
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:30/77101 vs 02:30/77135.0 | 06:30/76227 vs 06:30/76246.0 | 10s | 5s | $1.5 | ENTRY_DELAY |
| long | 06:30/76227 vs 06:30/76270.0 | 07:00/76135 vs 07:00/76121.0 | 9s | 8s | $-5.7 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 07:30/76227 vs 07:30/76231.0 | 08:00/76135 vs 08:00/76018.84 | 5s | 5s | $-12.02 | SLIPPAGE |
| short | 08:00/75997 vs 08:00/76005.52 | 08:30/76135 vs 08:30/76266.0 | 10s | 4s | $-12.25 | ENTRY_DELAY,SLIPPAGE |
| long | 08:30/76135 vs 08:30/76266.0 | 12:30/77147 vs 12:30/77054.0 | 11s | 4s | $-22.4 | ENTRY_DELAY,SLIPPAGE |
| short | 12:30/77147 vs 12:30/77058.0 | 13:00/77147 vs 13:00/77212.0 | 8s | 8s | $-15.4 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 13:30/77285 vs 13:34/77395.11 | 15:00/77331 vs 15:00/77179.0 | 271s | 14s | $-26.21 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 15:00/77331 vs 15:00/77129.0 | 16:30/77285 vs 16:30/77309.0 | 19s | 6s | $-22.6 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 17:00/77377 vs 17:00/77403.0 | 17:30/77239 vs 17:32/77145.0 | 11s | 135s | $-12.0 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| short | 17:30/77239 vs 17:32/77145.0 | 18:30/77331 vs 18:26/77338.0 | 140s | -202s | $-10.1 | ENTRY_DELAY,EXIT_DELAY,SLIPPAGE |
| long | 21:00/77377 vs 21:00/77406.81 | 22:00/77837 vs 22:00/77886.0 | 30s | 9s | $1.92 | ENTRY_DELAY,EXIT_DELAY |
| short | 22:00/77837 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 22:00/77812.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:05/77697.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:10/77687.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:15/77660.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:20/77699.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:25/77768.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:35/77662.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:40/77669.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:45/77631.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:50/77666.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 22:55/77622.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:00/77579.82 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:05/77437.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:10/77479.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:15/77459.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:20/77517.72 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:25/77502.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:30/77670.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:35/77664.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:40/77523.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:45/77485.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:50/77540.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 23:55/77641.0 | - | - | - | - | UNMATCHED_LV_TRADE |

=== DATE: 2026-08-24 ===

S4 | BT trades: 4 | LIVE trades: 4
| direction | entry BT vs LV (time/price) | exit BT vs LV (time/price) | entry delay | exit delay | net slippage | issue |
|---|---|---|---|---|---|---|
| short | 02:00/77653 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 06:00/77009 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | 18:00/78895 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| long | 22:00/78941 vs MISSED | - | - | - | - | MISSED_NO_LIVE_FILL |
| short | NO_BT_SIGNAL vs 02:00/76964.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 06:00/77146.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| short | NO_BT_SIGNAL vs 18:00/78825.0 | - | - | - | - | UNMATCHED_LV_TRADE |
| long | NO_BT_SIGNAL vs 22:00/78857.0 | - | - | - | - | UNMATCHED_LV_TRADE |

S4V2 | BT trades: 22 | LIVE trades: 121
