trade_number,direction,entry_type,exit_type,entry_datetime,entry_price,exit_datetime,exit_price,size_qty,future_net_pnl,options_pnl,net_pnl,net_pnl_inr,hold_days,slippage_applied,cumulative_pnl_pct
1,SHORT,SELL_A,ST_FLIP_GREEN,2024-02-02T12:00:00,42773,2024-02-02T14:00:00,43373,100,-66.11,0.0,-66.11,-5553.0,0,6.0,-6.01
2,LONG,BUY_B,ST_FLIP_RED,2024-02-05T06:00:00,42973,2024-02-13T14:00:00,49173,100,613.89,0.0,613.89,51567.0,8,6.0,55.98
3,LONG,BUY_A,ST_FLIP_RED,2024-02-14T08:00:00,50373,2024-02-15T20:00:00,51173,100,73.89,0.0,73.89,6207.0,1,6.0,63.97
4,LONG,BUY_B,ST_FLIP_RED,2024-02-16T10:00:00,51973,2024-02-17T14:00:00,51173,100,-86.11,0.0,-86.11,-7233.0,1,6.0,55.96
5,SHORT,SELL_B,ST_FLIP_GREEN,2024-02-18T12:00:00,51773,2024-02-19T06:00:00,52373,100,-66.11,0.0,-66.11,-5553.0,0,6.0,49.94
6,LONG,BUY_B,ST_FLIP_RED,2024-02-21T04:00:00,51773,2024-02-21T08:00:00,51173,100,-66.11,0.0,-66.11,-5553.0,0,6.0,43.93
7,SHORT,SELL_B,ST_FLIP_GREEN,2024-02-22T00:00:00,51373,2024-02-26T14:00:00,51973,100,-66.11,0.0,-66.11,-5553.0,4,6.0,37.92
8,LONG,BUY_A,ST_FLIP_RED,2024-02-26T14:00:00,51973,2024-02-29T00:00:00,61573,100,953.89,0.0,953.89,80127.0,2,6.0,133.91
9,SHORT,SELL_A,ST_FLIP_GREEN,2024-02-29T16:00:00,61973,2024-03-01T08:00:00,61973,100,-6.11,0.0,-6.11,-513.0,0,6.0,133.9
10,LONG,BUY_A,ST_FLIP_RED,2024-03-03T12:00:00,62373,2024-03-05T04:00:00,67573,100,513.89,0.0,513.89,43167.0,1,6.0,185.89
11,LONG,BUY_A,ST_FLIP_RED,2024-03-06T04:00:00,63373,2024-03-06T12:00:00,66373,100,293.89,0.0,293.89,24687.0,0,6.0,215.88
12,SHORT,SELL_A,ST_FLIP_GREEN,2024-03-06T20:00:00,66573,2024-03-07T14:00:00,66973,100,-46.11,0.0,-46.11,-3873.0,0,6.0,211.87
13,LONG,BUY_A,ST_FLIP_RED,2024-03-07T16:00:00,67573,2024-03-11T00:00:00,68773,100,113.89,0.0,113.89,9567.0,3,6.0,223.86
14,LONG,BUY_A,ST_FLIP_RED,2024-03-11T14:00:00,71973,2024-03-12T02:00:00,71573,100,-46.11,0.0,-46.11,-3873.0,0,6.0,219.85
15,SHORT,SELL_A,ST_FLIP_GREEN,2024-03-12T20:00:00,70973,2024-03-13T04:00:00,72173,100,-126.11,0.0,-126.11,-10593.0,0,6.0,207.83
16,LONG,BUY_A,ST_FLIP_RED,2024-03-15T12:00:00,68173,2024-03-16T10:00:00,68573,100,33.89,0.0,33.89,2847.0,0,6.0,211.82
17,SHORT,SELL_A,ST_FLIP_GREEN,2024-03-16T20:00:00,66373,2024-03-17T00:00:00,66373,100,-6.11,0.0,-6.11,-513.0,0,6.0,211.81
18,LONG,BUY_A,ST_FLIP_RED,2024-03-17T00:00:00,66373,2024-03-18T00:00:00,67573,100,113.89,0.0,113.89,9567.0,1,6.0,223.8
19,SHORT,SELL_A,ST_FLIP_GREEN,2024-03-19T00:00:00,66373,2024-03-19T14:00:00,64173,100,213.89,0.0,213.89,17967.0,0,6.0,245.79
20,LONG,BUY_A,ST_FLIP_RED,2024-03-20T06:00:00,62973,2024-03-21T02:00:00,66773,100,373.89,0.0,373.89,31407.0,0,6.0,283.78
21,SHORT,SELL_A,ST_FLIP_GREEN,2024-03-21T12:00:00,66773,2024-03-22T04:00:00,66373,100,33.89,0.0,33.89,2847.0,0,6.0,287.77
22,LONG,BUY_A,ST_FLIP_RED,2024-03-22T04:00:00,66373,2024-03-22T10:00:00,65173,100,-126.11,0.0,-126.11,-10593.0,0,6.0,275.76
