trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss,options_pnl,future_net_pnl
1,BUY_A,ST_FLIP_RED,2024-02-07T18:00:00,2024-02-13T14:00:00,long,43543,49143,100,0.1,4354.3,100.0,560,559.99,47039.16,55.999,5600,12.86,0,0.0,559.99,47039.16,55.999,435.43,0,0,0.01,0,0.0,0.01,43143,0.0,559.99
2,BUY_A,ST_FLIP_RED,2024-02-14T08:00:00,2024-02-15T20:00:00,long,50343,51343,100,0.1,5034.3,100.0,100,99.99,8399.16,9.999,1000,1.99,0,0.0,659.98,55438.32,65.998,503.43,0,0,0.01,0,0.0,0.01,49943,0.0,99.99
3,SELL_B,ST_FLIP_GREEN,2024-02-18T12:00:00,2024-02-18T22:00:00,short,51743,52343,100,0.1,5174.3,100.0,-60,-60.01,-5040.84,-6.001,0,0.0,600,1.16,599.97,50397.48,59.997,517.43,0,0,0.01,0,0.0,0.01,52143,0.0,-60.01
4,SELL_B,ST_FLIP_GREEN,2024-02-22T12:00:00,2024-02-26T14:00:00,short,51543,51943,100,0.1,5154.3,100.0,-40,-40.01,-3360.84,-4.001,0,0.0,400,0.78,559.96,47036.64,55.996,515.43,0,0,0.01,0,0.0,0.01,51943,0.0,-40.01
5,BUY_A,ST_FLIP_RED,2024-02-26T14:00:00,2024-02-29T00:00:00,long,51943,61543,100,0.1,5194.3,100.0,960,959.99,80639.16,95.999,9600,18.48,0,0.0,1519.95,127675.8,151.995,519.43,0,0,0.01,0,0.0,0.01,51543,0.0,959.99
6,SELL_A,ST_FLIP_GREEN,2024-02-29T16:00:00,2024-03-01T08:00:00,short,61943,61943,100,0.1,6194.3,100.0,0,-0.01,-0.84,-0.001,0,0.0,0,0.0,1519.94,127674.96,151.994,619.43,0,0,0.01,0,0.0,0.01,62343,0.0,-0.01
7,BUY_A,ST_FLIP_RED,2024-03-02T18:00:00,2024-03-05T04:00:00,long,62343,67543,100,0.1,6234.3,100.0,520,519.99,43679.16,51.999,5200,8.34,0,0.0,2039.93,171354.12,203.993,623.43,0,0,0.01,0,0.0,0.01,61943,0.0,519.99
8,BUY_A,ST_FLIP_RED,2024-03-06T04:00:00,2024-03-06T20:00:00,long,63343,66543,100,0.1,6334.3,100.0,320,319.99,26879.16,31.999,3200,5.05,0,0.0,2359.92,198233.28,235.992,633.43,0,0,0.01,0,0.0,0.01,62943,0.0,319.99
9,BUY_B,ST_FLIP_RED,2024-03-08T06:00:00,2024-03-11T00:00:00,long,67143,68743,100,0.1,6714.3,100.0,160,159.99,13439.16,15.999,1600,2.38,0,0.0,2519.91,211672.44,251.991,671.43,0,0,0.01,0,0.0,0.01,66743,0.0,159.99
10,BUY_A,ST_FLIP_RED,2024-03-11T14:00:00,2024-03-12T02:00:00,long,71943,71543,100,0.1,7194.3,100.0,-40,-40.01,-3360.84,-4.001,0,0.0,400,0.56,2479.9,208311.6,247.99,719.43,0,0,0.01,0,0.0,0.01,71543,0.0,-40.01
11,SELL_A,ST_FLIP_GREEN,2024-03-14T12:00:00,2024-03-14T20:00:00,short,72343,70543,100,0.1,7234.3,100.0,180,179.99,15119.16,17.999,1800,2.49,0,0.0,2659.89,223430.76,265.989,723.43,0,0,0.01,0,0.0,0.01,72743,0.0,179.99
12,BUY_A,ST_FLIP_RED,2024-03-15T12:00:00,2024-03-16T10:00:00,long,68143,68543,100,0.1,6814.3,100.0,40,39.99,3359.16,3.999,400,0.59,0,0.0,2699.88,226789.92,269.988,681.43,0,0,0.01,0,0.0,0.01,67743,0.0,39.99
