trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,FIRST_ENTRY,SL_HIT,2025-06-18 18:00:00,2025-06-18 21:00:00,short,103575.0,105106.5,100,0.1,10357.5,100.0,-153.15,-158.25,-13293.32,-0.16,0.0,0.0,1531.5,1.48,-158.25,-13293.32,-0.16,1035.75,0.1,5,0.0,0,0.0,5.1,104959.2
2,RE_ENTRY,SL_HIT,2025-06-19 15:00:00,2025-06-20 07:00:00,short,104066.0,105777.5,100,0.1,10406.6,100.0,-171.15,-176.27,-14806.68,-0.18,0.0,0.0,1711.5,1.64,-334.52,-28100.0,-0.33,1040.66,0.1,5,0.02,0,0.0,5.12,105222.1
3,RE_ENTRY,DOUBLE_TOP,2025-06-20 22:00:00,2025-06-22 00:00:00,short,103067.0,102806.0,100,0.1,10306.7,100.0,26.1,20.97,1761.27,0.02,261.0,0.25,0.0,0.0,-313.56,-26338.73,-0.31,1030.67,0.1,5,0.03,0,0.0,5.13,106098.91
4,RE_ENTRY,DOUBLE_TOP,2025-06-22 09:00:00,2025-06-23 06:00:00,short,102169.0,101895.0,100,0.1,10216.9,100.0,27.4,22.27,1871.0,0.02,274.0,0.27,0.0,0.0,-291.28,-24467.73,-0.29,1021.69,0.1,5,0.03,0,0.0,5.13,102976.73
5,RE_ENTRY,SL_HIT,2025-06-23 16:00:00,2025-06-23 17:00:00,short,100652.5,102672.0,100,0.1,10065.25,100.0,-201.95,-207.05,-17392.31,-0.21,0.0,0.0,2019.5,2.01,-498.33,-41860.04,-0.5,1006.52,0.1,5,0.0,0,0.0,5.1,102467.97
6,RE_ENTRY,SL_HIT,2025-07-21 19:00:00,2025-07-22 11:00:00,short,116736.0,119212.0,100,0.1,11673.6,100.0,-247.6,-252.72,-21228.48,-0.25,0.0,0.0,2476.0,2.12,-751.05,-63088.52,-0.75,1167.36,0.1,5,0.02,0,0.0,5.12,118996.23
7,RE_ENTRY,DOUBLE_TOP,2025-07-23 13:00:00,2025-07-24 00:00:00,short,117349.0,119035.0,100,0.1,11734.9,100.0,-168.6,-173.71,-14591.96,-0.17,0.0,0.0,1686.0,1.44,-924.77,-77680.47,-0.92,1173.49,0.1,5,0.01,0,0.0,5.11,120185.01
8,RE_ENTRY,DOUBLE_TOP,2025-07-24 05:00:00,2025-07-24 14:00:00,short,117570.5,119033.0,100,0.1,11757.05,100.0,-146.25,-151.36,-12714.35,-0.15,0.0,0.0,1462.5,1.24,-1076.13,-90394.82,-1.08,1175.71,0.1,5,0.01,0,0.0,5.11,119213.55
9,FIRST_ENTRY,DOUBLE_TOP,2025-07-29 15:00:00,2025-07-30 14:00:00,short,117358.0,118690.5,100,0.1,11735.8,100.0,-133.25,-138.38,-11623.82,-0.14,0.0,0.0,1332.5,1.14,-1214.51,-102018.63,-1.21,1173.58,0.1,5,0.03,0,0.0,5.13,118928.12
10,RE_ENTRY,SL_HIT,2025-08-05 07:00:00,2025-08-06 15:00:00,short,113935.5,115500.0,100,0.1,11393.55,100.0,-156.45,-161.59,-13573.56,-0.16,0.0,0.0,1564.5,1.37,-1376.1,-115592.19,-1.38,1139.36,0.1,5,0.04,0,0.0,5.14,115468.44
11,FIRST_ENTRY,SL_HIT,2025-08-21 19:00:00,2025-08-22 14:00:00,short,112170.0,115700.0,100,0.1,11217.0,100.0,-353.0,-358.12,-30082.39,-0.36,0.0,0.0,3530.0,3.15,-1734.22,-145674.59,-1.73,1121.7,0.1,5,0.02,0,0.0,5.12,114705.8
