trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,FIRST_ENTRY,DOUBLE_TOP,2025-06-17 16:00:00,2025-06-18 21:00:00,short,103585.5,105051.0,1,0,103.59,100.0,-1.47,-6.6,-554.55,-0.01,0.0,0.0,1465.5,1.41,-6.6,-554.55,-0.01,10.36,0.1,5,0.04,0,0.0,5.14,105535.24
2,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-19 15:00:00,2025-06-20 07:00:00,short,104066.0,105777.5,1,0,104.07,100.0,-1.71,-6.83,-573.85,-0.01,0.0,0.0,1711.5,1.64,-13.43,-1128.39,-0.01,10.41,0.1,5,0.02,0,0.0,5.12,105427.91
3,RE_ENTRY,DOUBLE_TOP,2025-06-20 22:00:00,2025-06-22 00:00:00,short,103067.0,102806.0,1,0,103.07,100.0,0.26,-4.87,-409.21,-0.0,261.0,0.25,0.0,0.0,-18.3,-1537.6,-0.02,10.31,0.1,5,0.03,0,0.0,5.13,105076.28
4,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-22 09:00:00,2025-06-23 05:00:00,short,102169.0,101799.0,1,0,102.17,100.0,0.37,-4.75,-399.42,-0.0,370.0,0.36,0.0,0.0,-23.06,-1937.02,-0.02,10.22,0.1,5,0.03,0,0.0,5.12,103740.75
5,RE_ENTRY,SL_HIT_SUPERTREND,2025-06-23 16:00:00,2025-06-23 17:00:00,short,100652.5,102672.0,1,0,100.65,100.0,-2.02,-7.12,-598.14,-0.01,0.0,0.0,2019.5,2.01,-30.18,-2535.16,-0.03,10.07,0.1,5,0.0,0,0.0,5.1,101737.79
6,RE_ENTRY,SL_HIT_SUPERTREND,2025-07-21 19:00:00,2025-07-21 19:00:00,short,116736.0,117498.0,1,0,116.74,100.0,-0.76,-5.86,-492.41,-0.01,0.0,0.0,762.0,0.65,-36.04,-3027.57,-0.04,11.67,0.1,5,0.0,0,0.0,5.1,101737.79
7,RE_ENTRY,SL_HIT_SUPERTREND,2025-07-29 15:00:00,2025-07-29 15:00:00,short,117358.0,117935.5,1,0,117.36,100.0,-0.58,-5.68,-476.91,-0.01,0.0,0.0,577.5,0.49,-41.72,-3504.48,-0.04,11.74,0.1,5,0.0,0,0.0,5.1,101737.79
8,RE_ENTRY,SL_HIT_SUPERTREND,2025-08-05 07:00:00,2025-08-05 07:00:00,short,113935.5,114371.5,1,0,113.94,100.0,-0.44,-5.54,-465.02,-0.01,0.0,0.0,436.0,0.38,-47.26,-3969.5,-0.05,11.39,0.1,5,0.0,0,0.0,5.1,101737.79
9,RE_ENTRY,SL_HIT_SUPERTREND,2025-08-21 19:00:00,2025-08-21 19:00:00,short,112170.0,112700.0,1,0,112.17,100.0,-0.53,-5.63,-472.92,-0.01,0.0,0.0,530.0,0.47,-52.89,-4442.42,-0.05,11.22,0.1,5,0.0,0,0.0,5.1,101737.79
10,RE_ENTRY,SL_HIT_SUPERTREND,2025-08-24 19:00:00,2025-08-24 19:00:00,short,112575.0,114792.5,1,0,112.58,100.0,-2.22,-7.32,-614.67,-0.01,0.0,0.0,2217.5,1.97,-60.2,-5057.09,-0.06,11.26,0.1,5,0.0,0,0.0,5.1,101737.79
