trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,FIRST_ENTRY,DOUBLE_TOP,2025-06-13 18:00:00,2025-06-15 05:00:00,short,103744.5,106041.5,100,0.1,10374.45,100.0,-229.7,-234.84,-19726.88,-0.23,0.0,0.0,2297.0,2.21,-234.84,-19726.88,-0.23,1037.45,0.1,5,0.04,0,0.0,5.14,108251.0
2,RE_ENTRY,DOUBLE_TOP,2025-06-19 01:00:00,2025-06-19 03:00:00,short,103575.0,105051.0,100,0.1,10357.5,100.0,-147.6,-152.7,-12827.01,-0.15,0.0,0.0,1476.0,1.43,-387.55,-32553.89,-0.39,1035.75,0.1,5,0.0,0,0.0,5.1,104802.0
3,RE_ENTRY,DOUBLE_TOP,2025-06-21 19:00:00,2025-06-23 13:00:00,short,103067.0,101895.0,100,0.1,10306.7,100.0,117.2,112.05,9411.99,0.11,1172.0,1.14,0.0,0.0,-275.5,-23141.9,-0.28,1030.67,0.1,5,0.05,0,0.0,5.15,105940.0
4,RE_ENTRY,DOUBLE_TOP,2025-06-27 12:00:00,2025-06-30 00:00:00,short,106634.0,108458.5,100,0.1,10663.4,100.0,-182.45,-187.63,-15760.5,-0.19,0.0,0.0,1824.5,1.71,-463.12,-38902.4,-0.46,1066.34,0.1,5,0.07,0,0.0,5.17,107739.0
5,RE_ENTRY,DOUBLE_TOP,2025-07-01 19:00:00,2025-07-03 09:00:00,short,106775.0,109632.0,100,0.1,10677.5,100.0,-285.7,-290.85,-24431.19,-0.29,0.0,0.0,2857.0,2.68,-753.97,-63333.59,-0.75,1067.75,0.1,5,0.05,0,0.0,5.15,108676.0
6,RE_ENTRY,DOUBLE_TOP,2025-07-08 01:00:00,2025-07-09 22:00:00,short,107545.0,111725.5,100,0.1,10754.5,100.0,-418.05,-423.21,-35549.33,-0.42,0.0,0.0,4180.5,3.89,-1177.18,-98882.91,-1.18,1075.45,0.1,5,0.06,0,0.0,5.16,109914.0
7,RE_ENTRY,DOUBLE_TOP,2025-07-15 07:00:00,2025-07-15 13:00:00,short,117088.0,122743.5,100,0.1,11708.8,100.0,-565.55,-570.66,-47935.23,-0.57,0.0,0.0,5655.5,4.83,-1747.84,-146818.14,-1.75,1170.88,0.1,5,0.01,0,0.0,5.11,118132.0
8,RE_ENTRY,DOUBLE_TOP,2025-07-15 14:00:00,2025-07-16 09:00:00,short,116788.5,118126.5,100,0.1,11678.85,100.0,-133.8,-138.92,-11669.6,-0.14,0.0,0.0,1338.0,1.15,-1886.76,-158487.74,-1.89,1167.88,0.1,5,0.02,0,0.0,5.12,122743.5
9,RE_ENTRY,DOUBLE_TOP,2025-07-17 11:00:00,2025-07-17 21:00:00,short,118126.0,119594.5,100,0.1,11812.6,100.0,-146.85,-151.96,-12764.85,-0.15,0.0,0.0,1468.5,1.24,-2038.72,-171252.59,-2.04,1181.26,0.1,5,0.01,0,0.0,5.11,119898.5
10,RE_ENTRY,DOUBLE_TOP,2025-07-18 18:00:00,2025-07-21 07:00:00,short,118649.5,118680.5,100,0.1,11864.95,100.0,-3.1,-8.28,-695.2,-0.01,0.0,0.0,31.0,0.03,-2047.0,-171947.79,-2.05,1186.5,0.1,5,0.08,0,0.0,5.18,120601.0
