trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_A,ST_FLIP_RED,2025-06-28 02:00:00,2025-06-30 20:00:00,long,107337.5,107137.5,100,0.1,10733.75,100.0,-20,-30.18,-2535.33,-0.03,0,0.0,200,0.19,-30.18,-2535.33,-0.03,1073.38,0.1,10,5.0,0.08,0,0.0,10.18,0
2,BUY_A,ST_FLIP_RED,2025-07-02 14:00:00,2025-07-03 14:00:00,long,108537.5,109137.5,100,0.1,10853.75,100.0,60,49.87,4189.08,0.05,600,0.55,0,0.0,19.69,1653.75,0.02,1085.38,0.1,10,5.0,0.03,0,0.0,10.13,0
3,BUY_A,ST_FLIP_RED,2025-07-06 20:00:00,2025-07-07 14:00:00,long,109137.5,108337.5,100,0.1,10913.75,100.0,-80,-90.12,-7570.29,-0.09,0,0.0,800,0.73,-70.44,-5916.54,-0.07,1091.38,0.1,10,5.0,0.02,0,0.0,10.12,0
4,BUY_A,ST_FLIP_RED,2025-07-08 16:00:00,2025-07-11 14:00:00,long,108937.5,117337.5,100,0.1,10893.75,100.0,840,829.81,69704.25,0.83,8400,7.71,0,0.0,759.38,63787.71,0.76,1089.38,0.1,10,5.0,0.09,0,0.0,10.19,0
5,BUY_A,ST_FLIP_RED,2025-07-12 02:00:00,2025-07-14 10:00:00,long,117937.5,121737.5,100,0.1,11793.75,100.0,380,369.83,31065.72,0.37,3800,3.22,0,0.0,1129.21,94853.43,1.13,1179.38,0.1,10,5.0,0.07,0,0.0,10.17,0
6,BUY_A,ST_FLIP_RED,2025-07-15 16:00:00,2025-07-15 18:00:00,long,116937.5,116537.5,100,0.1,11693.75,100.0,-40,-50.1,-4208.61,-0.05,0,0.0,400,0.34,1079.11,90644.82,1.08,1169.38,0.1,10,5.0,0.0,0,0.0,10.1,0
7,BUY_A,ST_FLIP_RED,2025-07-15 20:00:00,2025-07-17 00:00:00,long,117337.5,118137.5,100,0.1,11733.75,100.0,80,69.86,5868.66,0.07,800,0.68,0,0.0,1148.97,96513.48,1.15,1173.38,0.1,10,5.0,0.04,0,0.0,10.13,0
8,BUY_A,ST_FLIP_RED,2025-07-17 08:00:00,2025-07-17 22:00:00,long,118737.5,119137.5,100,0.1,11873.75,100.0,40,29.88,2510.13,0.03,400,0.34,0,0.0,1178.85,99023.61,1.18,1187.38,0.1,10,5.0,0.02,0,0.0,10.12,0
9,BUY_A,ST_FLIP_RED,2025-07-18 00:00:00,2025-07-18 06:00:00,long,120337.5,119537.5,100,0.1,12033.75,100.0,-80,-90.11,-7569.03,-0.09,0,0.0,800,0.66,1088.74,91454.58,1.09,1203.38,0.1,10,5.0,0.01,0,0.0,10.11,0
10,BUY_A,ST_FLIP_RED,2025-07-20 02:00:00,2025-07-20 22:00:00,long,117937.5,117337.5,100,0.1,11793.75,100.0,-60,-70.12,-5890.5,-0.07,0,0.0,600,0.51,1018.62,85564.08,1.02,1179.38,0.1,10,5.0,0.03,0,0.0,10.12,0
11,BUY_A,ST_FLIP_RED,2025-07-21 06:00:00,2025-07-21 10:00:00,long,118737.5,118337.5,100,0.1,11873.75,100.0,-40,-50.11,-4208.82,-0.05,0,0.0,400,0.34,968.51,81355.26,0.97,1187.38,0.1,10,5.0,0.01,0,0.0,10.11,0
12,BUY_A,ST_FLIP_RED,2025-07-22 08:00:00,2025-07-22 12:00:00,long,118337.5,118137.5,100,0.1,11833.75,100.0,-20,-30.11,-2528.82,-0.03,0,0.0,200,0.17,938.41,78826.44,0.94,1183.38,0.1,10,5.0,0.01,0,0.0,10.11,0
13,BUY_A,ST_FLIP_RED,2025-07-22 20:00:00,2025-07-23 02:00:00,long,119337.5,118937.5,100,0.1,11933.75,100.0,-40,-50.11,-4209.03,-0.05,0,0.0,400,0.34,888.3,74617.41,0.89,1193.38,0.1,10,5.0,0.01,0,0.0,10.11,0
14,BUY_A,ST_FLIP_RED,2025-07-23 18:00:00,2025-07-24 04:00:00,long,118537.5,117737.5,100,0.1,11853.75,100.0,-80,-90.11,-7569.45,-0.09,0,0.0,800,0.67,798.19,67047.96,0.8,1185.38,0.1,10,5.0,0.01,0,0.0,10.11,0
15,BUY_A,ST_FLIP_RED,2025-07-25 16:00:00,2025-07-28 14:00:00,long,115937.5,118337.5,100,0.1,11593.75,100.0,240,229.81,19304.25,0.23,2400,2.07,0,0.0,1028.0,86352.21,1.03,1159.38,0.1,10,5.0,0.09,0,0.0,10.19,0
16,BUY_A,ST_FLIP_RED,2025-07-30 14:00:00,2025-07-31 16:00:00,long,117937.5,117537.5,100,0.1,11793.75,100.0,-40,-50.13,-4211.13,-0.05,0,0.0,400,0.34,977.87,82141.08,0.98,1179.38,0.1,10,5.0,0.03,0,0.0,10.13,0
17,BUY_A,ST_FLIP_RED,2025-08-01 20:00:00,2025-08-05 06:00:00,long,113937.5,114137.5,100,0.1,11393.75,100.0,20,9.8,822.99,0.01,200,0.18,0,0.0,987.67,82964.07,0.99,1139.38,0.1,10,5.0,0.1,0,0.0,10.2,0
18,BUY_A,ST_FLIP_RED,2025-08-06 04:00:00,2025-08-08 14:00:00,long,113937.5,116337.5,100,0.1,11393.75,100.0,240,229.83,19305.51,0.23,2400,2.11,0,0.0,1217.49,102269.58,1.22,1139.38,0.1,10,5.0,0.07,0,0.0,10.17,0
19,BUY_A,ST_FLIP_RED,2025-08-09 08:00:00,2025-08-11 10:00:00,long,116937.5,120937.5,100,0.1,11693.75,100.0,400,389.84,32746.35,0.39,4000,3.42,0,0.0,1607.33,135015.93,1.61,1169.38,0.1,10,5.0,0.06,0,0.0,10.16,0
20,BUY_A,ST_FLIP_RED,2025-08-12 18:00:00,2025-08-13 14:00:00,long,119737.5,120737.5,100,0.1,11973.75,100.0,100,89.88,7549.5,0.09,1000,0.84,0,0.0,1697.21,142565.43,1.7,1197.38,0.1,10,5.0,0.03,0,0.0,10.12,0
21,BUY_A,ST_FLIP_RED,2025-08-13 16:00:00,2025-08-14 04:00:00,long,121937.5,122337.5,100,0.1,12193.75,100.0,40,29.88,2510.34,0.03,400,0.33,0,0.0,1727.09,145075.77,1.73,1219.38,0.1,10,5.0,0.01,0,0.0,10.12,0
22,BUY_A,ST_FLIP_RED,2025-08-16 00:00:00,2025-08-18 00:00:00,long,117537.5,117137.5,100,0.1,11753.75,100.0,-40,-50.16,-4213.44,-0.05,0,0.0,400,0.34,1676.93,140862.33,1.68,1175.38,0.1,10,5.0,0.06,0,0.0,10.16,0
23,BUY_A,ST_FLIP_RED,2025-08-20 14:00:00,2025-08-21 08:00:00,long,112937.5,113537.5,100,0.1,11293.75,100.0,60,49.88,4189.71,0.05,600,0.53,0,0.0,1726.81,145052.04,1.73,1129.38,0.1,10,5.0,0.02,0,0.0,10.12,0
24,BUY_A,ST_FLIP_RED,2025-08-22 14:00:00,2025-08-23 02:00:00,long,112737.5,115937.5,100,0.1,11273.75,100.0,320,309.88,26030.34,0.31,3200,2.84,0,0.0,2036.69,171082.38,2.04,1127.38,0.1,10,5.0,0.01,0,0.0,10.12,0
25,BUY_A,ST_FLIP_RED,2025-08-24 22:00:00,2025-08-25 18:00:00,long,113537.5,111337.5,100,0.1,11353.75,100.0,-220,-230.12,-19330.5,-0.23,0,0.0,2200,1.94,1806.57,151751.88,1.81,1135.38,0.1,10,5.0,0.03,0,0.0,10.12,0
26,BUY_A,ST_FLIP_RED,2025-08-26 18:00:00,2025-08-27 06:00:00,long,110937.5,110537.5,100,0.1,11093.75,100.0,-40,-50.12,-4209.66,-0.05,0,0.0,400,0.36,1756.45,147542.22,1.76,1109.38,0.1,10,5.0,0.01,0,0.0,10.12,0
27,BUY_A,ST_FLIP_RED,2025-08-27 10:00:00,2025-08-28 18:00:00,long,111337.5,111937.5,100,0.1,11133.75,100.0,60,49.86,4188.24,0.05,600,0.54,0,0.0,1806.31,151730.46,1.81,1113.38,0.1,10,5.0,0.04,0,0.0,10.14,0
28,BUY_A,ST_FLIP_RED,2025-08-31 16:00:00,2025-08-31 22:00:00,long,109137.5,108337.5,100,0.1,10913.75,100.0,-80,-90.11,-7569.03,-0.09,0,0.0,800,0.73,1716.21,144161.43,1.72,1091.38,0.1,10,5.0,0.01,0,0.0,10.11,0
29,BUY_A,ST_FLIP_RED,2025-09-01 06:00:00,2025-09-01 20:00:00,long,108937.5,108537.5,100,0.1,10893.75,100.0,-40,-50.12,-4209.87,-0.05,0,0.0,400,0.37,1666.09,139951.56,1.67,1089.38,0.1,10,5.0,0.02,0,0.0,10.12,0
30,BUY_A,ST_FLIP_RED,2025-09-01 22:00:00,2025-09-04 02:00:00,long,108937.5,111137.5,100,0.1,10893.75,100.0,220,209.84,17626.14,0.21,2200,2.02,0,0.0,1875.92,157577.7,1.88,1089.38,0.1,10,5.0,0.07,0,0.0,10.16,0
31,BUY_A,ST_FLIP_RED,2025-09-05 06:00:00,2025-09-05 14:00:00,long,112337.5,111937.5,100,0.1,11233.75,100.0,-40,-50.11,-4209.24,-0.05,0,0.0,400,0.36,1825.81,153368.46,1.83,1123.38,0.1,10,5.0,0.01,0,0.0,10.11,0
32,BUY_A,ST_FLIP_RED,2025-09-07 02:00:00,2025-09-09 00:00:00,long,110737.5,111537.5,100,0.1,11073.75,100.0,80,69.84,5866.77,0.07,800,0.72,0,0.0,1895.66,159235.23,1.9,1107.38,0.1,10,5.0,0.06,0,0.0,10.16,0
