trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_A,ST_FLIP_RED,2025-06-23T22:00:00,2025-06-25T14:00:00,long,104057.5,106857.5,100,0.1,10405.75,100.0,280,275.89,23174.76,0.28,2800,2.69,0,0.0,275.89,23174.76,0.28,1040.58,0.1,4,2.0,0.01,0,0.0,4.11,103657.5
2,SELL_A,ST_FLIP_GREEN,2025-06-26T12:00:00,2025-06-29T08:00:00,short,107257.5,107857.5,100,0.1,10725.75,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.56,211.78,17789.52,0.21,1072.58,0.1,4,2.0,0.01,0,0.0,4.11,107657.5
3,SELL_A,ST_FLIP_GREEN,2025-06-30T06:00:00,2025-07-02T04:00:00,short,107657.5,106457.5,100,0.1,10765.75,100.0,120,115.89,9734.76,0.12,1200,1.11,0,0.0,327.67,27524.28,0.33,1076.58,0.1,4,2.0,0.01,0,0.0,4.11,108057.5
4,BUY_A,ST_FLIP_RED,2025-07-02T14:00:00,2025-07-03T14:00:00,long,108657.5,109057.5,100,0.1,10865.75,100.0,40,35.89,3014.76,0.04,400,0.37,0,0.0,363.56,30539.04,0.36,1086.58,0.1,4,2.0,0.01,0,0.0,4.11,108257.5
5,SELL_A,ST_FLIP_GREEN,2025-07-04T02:00:00,2025-07-06T12:00:00,short,109057.5,108457.5,100,0.1,10905.75,100.0,60,55.89,4694.76,0.06,600,0.55,0,0.0,419.45,35233.8,0.42,1090.58,0.1,4,2.0,0.01,0,0.0,4.11,109457.5
6,BUY_A,ST_FLIP_RED,2025-07-06T14:00:00,2025-07-07T16:00:00,long,108857.5,108257.5,100,0.1,10885.75,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.55,355.34,29848.56,0.36,1088.58,0.1,4,2.0,0.01,0,0.0,4.11,108457.5
7,BUY_A,ST_FLIP_RED,2025-07-08T16:00:00,2025-07-09T20:00:00,long,108857.5,110657.5,100,0.1,10885.75,100.0,180,175.89,14774.76,0.18,1800,1.65,0,0.0,531.23,44623.32,0.53,1088.58,0.1,4,2.0,0.01,0,0.0,4.11,108457.5
8,SELL_A,ST_FLIP_GREEN,2025-07-10T12:00:00,2025-07-10T16:00:00,short,110857.5,111657.5,100,0.1,11085.75,100.0,-80,-84.11,-7065.24,-0.08,0,0.0,800,0.72,447.12,37558.08,0.45,1108.58,0.1,4,2.0,0.01,0,0.0,4.11,111257.5
9,BUY_A,ST_FLIP_RED,2025-07-12T08:00:00,2025-07-14T10:00:00,long,118057.5,121657.5,100,0.1,11805.75,100.0,360,355.89,29894.76,0.36,3600,3.05,0,0.0,803.01,67452.84,0.8,1180.58,0.1,4,2.0,0.01,0,0.0,4.11,117657.5
10,SELL_A,ST_FLIP_GREEN,2025-07-15T14:00:00,2025-07-15T16:00:00,short,116657.5,117257.5,100,0.1,11665.75,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.51,738.9,62067.6,0.74,1166.58,0.1,4,2.0,0.01,0,0.0,4.11,117057.5
11,SELL_A,ST_FLIP_GREEN,2025-07-17T10:00:00,2025-07-17T16:00:00,short,118457.5,119057.5,100,0.1,11845.75,100.0,-60,-64.11,-5385.24,-0.06,0,0.0,600,0.51,674.79,56682.36,0.67,1184.58,0.1,4,2.0,0.01,0,0.0,4.11,118857.5
12,SELL_A,ST_FLIP_GREEN,2025-07-21T14:00:00,2025-07-22T06:00:00,short,118257.5,117857.5,100,0.1,11825.75,100.0,40,35.89,3014.76,0.04,400,0.34,0,0.0,710.68,59697.12,0.71,1182.58,0.1,4,2.0,0.01,0,0.0,4.11,118657.5
