trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2025-06-25T14:00:00,2025-06-26T02:00:00,short,106798,107798,2,0,213.6,100.0,-2.0,-202.11,-16977.24,-0.2,0,0.0,1000,0.94,-202.11,-16977.24,-0.2,21.36,0.1,200,100.0,0.01,0,0.0,200.11,107198
2,BUY,ST_FLIP_RED,2025-06-26T02:00:00,2025-06-30T20:00:00,long,107798,107198,2,0,215.6,100.0,-1.2,-201.31,-16910.04,-0.2,0,0.0,600,0.56,-403.42,-33887.28,-0.4,21.56,0.1,200,100.0,0.01,0,0.0,200.11,107398
3,BUY,ST_FLIP_RED,2025-07-02T04:00:00,2025-07-03T14:00:00,long,106398,109198,2,0,212.8,100.0,5.6,-194.51,-16338.84,-0.19,2800,2.63,0,0.0,-597.93,-50226.12,-0.6,21.28,0.1,200,100.0,0.01,0,0.0,200.11,105998
4,SELL,ST_FLIP_GREEN,2025-07-03T14:00:00,2025-07-06T12:00:00,short,109198,108598,2,0,218.4,100.0,1.2,-198.91,-16708.44,-0.2,600,0.55,0,0.0,-796.84,-66934.56,-0.8,21.84,0.1,200,100.0,0.01,0,0.0,200.11,109598
5,BUY,ST_FLIP_RED,2025-07-06T12:00:00,2025-07-07T16:00:00,long,108598,108198,2,0,217.2,100.0,-0.8,-200.91,-16876.44,-0.2,0,0.0,400,0.37,-997.75,-83811.0,-1.0,21.72,0.1,200,100.0,0.01,0,0.0,200.11,108198
6,SELL,ST_FLIP_GREEN,2025-07-07T16:00:00,2025-07-08T12:00:00,short,108198,108798,2,0,216.4,100.0,-1.2,-201.31,-16910.04,-0.2,0,0.0,600,0.55,-1199.06,-100721.04,-1.2,21.64,0.1,200,100.0,0.01,0,0.0,200.11,108598
7,BUY,ST_FLIP_RED,2025-07-08T12:00:00,2025-07-09T20:00:00,long,108798,110598,2,0,217.6,100.0,3.6,-196.51,-16506.84,-0.2,1800,1.65,0,0.0,-1395.57,-117227.88,-1.4,21.76,0.1,200,100.0,0.01,0,0.0,200.11,108398
8,SELL,ST_FLIP_GREEN,2025-07-09T20:00:00,2025-07-10T16:00:00,short,110598,111598,2,0,221.2,100.0,-2.0,-202.11,-16977.24,-0.2,0,0.0,1000,0.9,-1597.68,-134205.12,-1.6,22.12,0.1,200,100.0,0.01,0,0.0,200.11,110998
9,BUY,ST_FLIP_RED,2025-07-10T16:00:00,2025-07-11T14:00:00,long,111598,117398,2,0,223.2,100.0,11.6,-188.51,-15834.84,-0.19,5800,5.2,0,0.0,-1786.19,-150039.96,-1.79,22.32,0.1,200,100.0,0.01,0,0.0,200.11,111198
10,SELL,ST_FLIP_GREEN,2025-07-11T14:00:00,2025-07-11T18:00:00,short,117398,117998,2,0,234.8,100.0,-1.2,-201.31,-16910.04,-0.2,0,0.0,600,0.51,-1987.5,-166950.0,-1.99,23.48,0.1,200,100.0,0.01,0,0.0,200.11,117798
11,BUY,ST_FLIP_RED,2025-07-11T18:00:00,2025-07-14T10:00:00,long,117998,121598,2,0,236.0,100.0,7.2,-192.91,-16204.44,-0.19,3600,3.05,0,0.0,-2180.41,-183154.44,-2.18,23.6,0.1,200,100.0,0.01,0,0.0,200.11,117598
12,SELL,ST_FLIP_GREEN,2025-07-14T10:00:00,2025-07-15T12:00:00,short,121598,117798,2,0,243.2,100.0,7.6,-192.51,-16170.84,-0.19,3800,3.13,0,0.0,-2372.92,-199325.28,-2.37,24.32,0.1,200,100.0,0.01,0,0.0,200.11,121998
13,BUY,ST_FLIP_RED,2025-07-15T12:00:00,2025-07-15T14:00:00,long,117798,117198,2,0,235.6,100.0,-1.2,-201.31,-16910.04,-0.2,0,0.0,600,0.51,-2574.23,-216235.32,-2.57,23.56,0.1,200,100.0,0.01,0,0.0,200.11,117398
14,SELL,ST_FLIP_GREEN,2025-07-15T14:00:00,2025-07-15T16:00:00,short,117198,117398,2,0,234.4,100.0,-0.4,-200.51,-16842.84,-0.2,0,0.0,200,0.17,-2774.74,-233078.16,-2.77,23.44,0.1,200,100.0,0.01,0,0.0,200.11,117598
