trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_value,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL,ST_FLIP_GREEN,2025-06-25T14:00:00,2025-06-26T02:00:00,short,106798,107798,10679.8,-100,-110.11,-9249.24,-0.11,0,0,1000,0.94,-110.11,-9249.24,-0.11,1067.98,0.1,10,5,0.01,0,0,10.11,107198
2,BUY,ST_FLIP_RED,2025-06-26T02:00:00,2025-06-30T20:00:00,long,107798,107198,10779.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.56,-180.22,-15138.48,-0.18,1077.98,0.1,10,5,0.01,0,0,10.11,107398
3,BUY,ST_FLIP_RED,2025-07-02T04:00:00,2025-07-03T14:00:00,long,106398,109198,10639.8,280,269.89,22670.76,0.27,2800,2.63,0,0,89.67,7532.28,0.09,1063.98,0.1,10,5,0.01,0,0,10.11,105998
4,SELL,ST_FLIP_GREEN,2025-07-03T14:00:00,2025-07-06T12:00:00,short,109198,108598,10919.8,60,49.89,4190.76,0.05,600,0.55,0,0,139.56,11723.04,0.14,1091.98,0.1,10,5,0.01,0,0,10.11,109598
5,BUY,ST_FLIP_RED,2025-07-06T12:00:00,2025-07-07T16:00:00,long,108598,108198,10859.8,-40,-50.11,-4209.24,-0.05,0,0,400,0.37,89.45,7513.8,0.09,1085.98,0.1,10,5,0.01,0,0,10.11,108198
6,SELL,ST_FLIP_GREEN,2025-07-07T16:00:00,2025-07-08T12:00:00,short,108198,108798,10819.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.55,19.34,1624.56,0.02,1081.98,0.1,10,5,0.01,0,0,10.11,108598
7,BUY,ST_FLIP_RED,2025-07-08T12:00:00,2025-07-09T20:00:00,long,108798,110598,10879.8,180,169.89,14270.76,0.17,1800,1.65,0,0,189.23,15895.32,0.19,1087.98,0.1,10,5,0.01,0,0,10.11,108398
8,SELL,ST_FLIP_GREEN,2025-07-09T20:00:00,2025-07-10T16:00:00,short,110598,111598,11059.8,-100,-110.11,-9249.24,-0.11,0,0,1000,0.9,79.12,6646.08,0.08,1105.98,0.1,10,5,0.01,0,0,10.11,110998
9,BUY,ST_FLIP_RED,2025-07-10T16:00:00,2025-07-11T14:00:00,long,111598,117398,11159.8,580,569.89,47870.76,0.57,5800,5.2,0,0,649.01,54516.84,0.65,1115.98,0.1,10,5,0.01,0,0,10.11,111198
10,SELL,ST_FLIP_GREEN,2025-07-11T14:00:00,2025-07-11T18:00:00,short,117398,117998,11739.8,-60,-70.11,-5889.24,-0.07,0,0,600,0.51,578.9,48627.6,0.58,1173.98,0.1,10,5,0.01,0,0,10.11,117798
