trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-01-16T08:00:00,2024-01-24T04:00:00,short,45591,39105,100,0.1,4559.1,100.0,648.6,638.49,53633.16,0.64,6486,14.23,0,0.0,638.49,53633.16,0.64,455.91,0.1,10,5.0,0.01,0,0.0,10.11,45683
2,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-01-31T04:00:00,2024-02-01T12:00:00,short,43291,42325,100,0.1,4329.1,100.0,96.6,86.49,7265.16,0.09,966,2.23,0,0.0,724.98,60898.32,0.72,432.91,0.1,10,5.0,0.01,0,0.0,10.11,43383
3,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-02T16:00:00,2024-02-03T12:00:00,short,43107,43153,100,0.1,4310.7,100.0,-4.6,-14.71,-1235.64,-0.01,0,0.0,46,0.11,710.27,59662.68,0.71,431.07,0.1,10,5.0,0.01,0,0.0,10.11,43199
4,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-03T16:00:00,2024-02-04T08:00:00,short,43061,43015,100,0.1,4306.1,100.0,4.6,-5.51,-462.84,-0.01,46,0.11,0,0.0,704.76,59199.84,0.7,430.61,0.1,10,5.0,0.01,0,0.0,10.11,43153
5,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-04T12:00:00,2024-02-05T00:00:00,short,42969,42693,100,0.1,4296.9,100.0,27.6,17.49,1469.16,0.02,276,0.64,0,0.0,722.25,60669.0,0.72,429.69,0.1,10,5.0,0.01,0,0.0,10.11,43061
6,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-05T12:00:00,2024-02-05T16:00:00,short,43107,42693,100,0.1,4310.7,100.0,41.4,31.29,2628.36,0.03,414,0.96,0,0.0,753.54,63297.36,0.75,431.07,0.1,10,5.0,0.01,0,0.0,10.11,43199
7,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-06T20:00:00,2024-02-07T04:00:00,short,43199,42923,100,0.1,4319.9,100.0,27.6,17.49,1469.16,0.02,276,0.64,0,0.0,771.03,64766.52,0.77,431.99,0.1,10,5.0,0.01,0,0.0,10.11,43291
8,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-08T16:00:00,2024-02-09T00:00:00,short,45315,45499,100,0.1,4531.5,100.0,-18.4,-28.51,-2394.84,-0.03,0,0.0,184,0.41,742.52,62371.68,0.74,453.15,0.1,10,5.0,0.01,0,0.0,10.11,45407
9,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-09T20:00:00,2024-02-10T00:00:00,short,47431,47247,100,0.1,4743.1,100.0,18.4,8.29,696.36,0.01,184,0.39,0,0.0,750.81,63068.04,0.75,474.31,0.1,10,5.0,0.01,0,0.0,10.11,47523
10,SMIIO_CROSS_DOWN,SMIIO_CROSS_UP,2024-02-10T04:00:00,2024-02-10T12:00:00,short,47293,47293,100,0.1,4729.3,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,740.7,62218.8,0.74,472.93,0.1,10,5.0,0.01,0,0.0,10.11,47385
