trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,BUY_A,ST_flip_red_brick,2025-07-02 08:00:00,2025-07-04 20:00:00,long,106184.0,107498.0,100,0.1,10618.4,100.0,131.4,121.23,10182.9,0.12,1314.0,1.24,0.0,0.0,121.23,10182.9,0.12,1061.84,0.1,10,5.0,0.07,0,0.0,10.17,0
2,SELL_A,ST_flip_green_brick,2025-07-06 12:00:00,2025-07-07 00:00:00,short,107934.0,108660.0,100,0.1,10793.4,100.0,-72.6,-82.72,-6948.06,-0.08,0.0,0.0,726.0,0.67,38.51,3234.84,0.04,1079.34,0.1,10,5.0,0.01,0,0.0,10.12,0
3,SELL_B,ST_flip_green_brick,2025-07-07 22:00:00,2025-07-09 10:00:00,short,107517.0,108680.0,100,0.1,10751.7,100.0,-116.3,-126.45,-10621.38,-0.13,0.0,0.0,1163.0,1.08,-87.94,-7386.54,-0.09,1075.17,0.1,10,5.0,0.04,0,0.0,10.14,0
4,BUY_A,ST_flip_red_brick,2025-07-09 16:00:00,2025-07-15 00:00:00,long,109464.5,119979.5,100,0.1,10946.45,100.0,1051.5,1041.24,87464.16,1.04,10515.0,9.61,0.0,0.0,953.31,80077.62,0.95,1094.64,0.1,10,5.0,0.16,0,0.0,10.26,0
5,BUY_A,ST_flip_red_brick,2025-07-17 00:00:00,2025-07-17 20:00:00,long,119577.5,118563.0,100,0.1,11957.75,100.0,-101.45,-111.58,-9372.3,-0.11,0.0,0.0,1014.5,0.85,841.73,70705.32,0.84,1195.78,0.1,10,5.0,0.03,0,0.0,10.12,0
6,SELL_B,ST_flip_green_brick,2025-07-18 20:00:00,2025-07-21 12:00:00,short,117601.5,119251.0,100,0.1,11760.15,100.0,-164.95,-175.13,-14710.92,-0.18,0.0,0.0,1649.5,1.4,666.6,55994.4,0.67,1176.02,0.1,10,5.0,0.08,0,0.0,10.18,0
7,SELL_B,ST_flip_green_brick,2025-07-22 08:00:00,2025-07-22 20:00:00,short,116929.0,119044.0,100,0.1,11692.9,100.0,-211.5,-221.62,-18615.66,-0.22,0.0,0.0,2115.0,1.81,444.99,37378.74,0.44,1169.29,0.1,10,5.0,0.01,0,0.0,10.12,0
8,SELL_B,ST_flip_green_brick,2025-07-23 20:00:00,2025-07-26 06:00:00,short,117836.5,117579.5,100,0.1,11783.65,100.0,25.7,15.53,1304.31,0.02,257.0,0.22,0.0,0.0,460.51,38683.05,0.46,1178.37,0.1,10,5.0,0.07,0,0.0,10.17,0
9,BUY_A,ST_flip_red_brick,2025-07-27 20:00:00,2025-07-28 22:00:00,long,119378.0,117550.5,100,0.1,11937.8,100.0,-182.75,-192.88,-16202.13,-0.19,0.0,0.0,1827.5,1.53,267.63,22480.92,0.27,1193.78,0.1,10,5.0,0.03,0,0.0,10.13,0
10,SELL_A,ST_flip_green_brick,2025-07-29 20:00:00,2025-08-04 04:00:00,short,117302.0,114317.0,100,0.1,11730.2,100.0,298.5,288.24,24212.16,0.29,2985.0,2.54,0.0,0.0,555.87,46693.08,0.56,1173.02,0.1,10,5.0,0.16,0,0.0,10.26,0
11,BUY_A,ST_flip_red_brick,2025-08-04 06:00:00,2025-08-05 20:00:00,long,114682.5,113158.0,100,0.1,11468.25,100.0,-152.45,-162.6,-13658.19,-0.16,0.0,0.0,1524.5,1.33,393.27,33034.89,0.39,1146.83,0.1,10,5.0,0.05,0,0.0,10.15,0
12,BUY_B,ST_flip_red_brick,2025-08-06 22:00:00,2025-08-11 22:00:00,long,115392.5,119579.0,100,0.1,11539.25,100.0,418.65,408.4,34305.6,0.41,4186.5,3.63,0.0,0.0,801.67,67340.49,0.8,1153.92,0.1,10,5.0,0.15,0,0.0,10.25,0
13,SELL_A,ST_flip_green_brick,2025-08-12 14:00:00,2025-08-13 08:00:00,short,118489.0,119555.0,100,0.1,11848.9,100.0,-106.6,-116.72,-9804.69,-0.12,0.0,0.0,1066.0,0.9,684.95,57535.8,0.68,1184.89,0.1,10,5.0,0.02,0,0.0,10.12,0
14,BUY_A,ST_flip_red_brick,2025-08-13 16:00:00,2025-08-14 14:00:00,long,120529.5,121533.0,100,0.1,12052.95,100.0,100.35,90.22,7578.69,0.09,1003.5,0.83,0.0,0.0,775.17,65114.49,0.78,1205.3,0.1,10,5.0,0.03,0,0.0,10.13,0
15,SELL_A,ST_flip_green_brick,2025-08-15 18:00:00,2025-08-17 16:00:00,short,117856.0,118201.0,100,0.1,11785.6,100.0,-34.5,-44.66,-3751.23,-0.04,0.0,0.0,345.0,0.29,730.52,61363.26,0.73,1178.56,0.1,10,5.0,0.06,0,0.0,10.16,0
16,SELL_B,ST_flip_green_brick,2025-08-18 06:00:00,2025-08-19 02:00:00,short,115751.5,116881.5,100,0.1,11575.15,100.0,-113.0,-123.12,-10342.5,-0.12,0.0,0.0,1130.0,0.98,607.39,51020.76,0.61,1157.52,0.1,10,5.0,0.03,0,0.0,10.12,0
17,BUY_A,ST_flip_red_brick,2025-08-19 16:00:00,2025-08-19 20:00:00,long,115463.0,113610.5,100,0.1,11546.3,100.0,-185.25,-195.35,-16409.82,-0.2,0.0,0.0,1852.5,1.6,412.04,34610.94,0.41,1154.63,0.1,10,5.0,0.01,0,0.0,10.11,0
18,SELL_A,ST_flip_green_brick,2025-08-21 10:00:00,2025-08-22 20:00:00,short,113575.0,116386.5,100,0.1,11357.5,100.0,-281.15,-291.29,-24468.57,-0.29,0.0,0.0,2811.5,2.48,120.74,10142.37,0.12,1135.75,0.1,10,5.0,0.04,0,0.0,10.14,0
19,BUY_A,ST_flip_red_brick,2025-08-24 02:00:00,2025-08-24 18:00:00,long,115252.0,114442.0,100,0.1,11525.2,100.0,-81.0,-91.12,-7654.08,-0.09,0.0,0.0,810.0,0.7,29.62,2488.29,0.03,1152.52,0.1,10,5.0,0.02,0,0.0,10.12,0
20,SELL_A,ST_flip_green_brick,2025-08-25 02:00:00,2025-08-27 22:00:00,short,112619.5,112426.0,100,0.1,11261.95,100.0,19.35,9.17,769.86,0.01,193.5,0.17,0.0,0.0,38.79,3258.15,0.04,1126.2,0.1,10,5.0,0.09,0,0.0,10.19,0
21,BUY_A,ST_flip_red_brick,2025-08-28 10:00:00,2025-08-29 10:00:00,long,112964.0,110959.5,100,0.1,11296.4,100.0,-200.45,-210.58,-17688.72,-0.21,0.0,0.0,2004.5,1.77,-171.79,-14430.57,-0.17,1129.64,0.1,10,5.0,0.03,0,0.0,10.13,0
