trade_number,entry_type,exit_type,entry_datetime,exit_datetime,direction,entry_price,exit_price,size_qty,actual_quantity,size_value,lot_notional_usd,gross_pnl,net_pnl,net_pnl_inr,net_pnl_pct,favorable_excursion,favorable_excursion_pct,adverse_excursion,adverse_excursion_pct,cumulative_pnl,cumulative_pnl_inr,cumulative_pnl_pct,margin_required,taker_fees_usd,slippage_usd,slippage_applied,funding_usd,insurance_usd,tax_usd,total_charges_usd,stop_loss
1,SELL_B,ST_FLIP_GREEN,2024-01-16T08:30:00,2024-01-24T05:30:00,short,45545,39151,100,0.1,4554.5,100.0,639.4,629.29,52860.36,0.63,6394,14.04,0,0.0,629.29,52860.36,0.63,455.45,0.1,10,5.0,0.01,0,0.0,10.11,45637
2,BUY_B,ST_FLIP_RED,2024-01-24T05:30:00,2024-01-29T07:30:00,long,39151,42049,100,0.1,3915.1,100.0,289.8,279.69,23493.96,0.28,2898,7.4,0,0.0,908.98,76354.32,0.91,391.51,0.1,10,5.0,0.01,0,0.0,10.11,39059
3,SELL_B,ST_FLIP_GREEN,2024-01-29T07:30:00,2024-01-29T12:00:00,short,42049,42187,100,0.1,4204.9,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.33,885.07,74345.88,0.89,420.49,0.1,10,5.0,0.01,0,0.0,10.11,42141
4,BUY_A,ST_FLIP_RED,2024-01-30T15:00:00,2024-01-31T07:30:00,long,42463,43245,100,0.1,4246.3,100.0,78.2,68.09,5719.56,0.07,782,1.84,0,0.0,953.16,80065.44,0.95,424.63,0.1,10,5.0,0.01,0,0.0,10.11,42371
5,SELL_B,ST_FLIP_GREEN,2024-01-31T07:30:00,2024-01-31T11:30:00,short,43245,42647,100,0.1,4324.5,100.0,59.8,49.69,4173.96,0.05,598,1.38,0,0.0,1002.85,84239.4,1.0,432.45,0.1,10,5.0,0.01,0,0.0,10.11,43337
6,BUY_A,ST_FLIP_RED,2024-01-31T11:30:00,2024-02-01T09:30:00,long,42647,42555,100,0.1,4264.7,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.22,983.54,82617.36,0.98,426.47,0.1,10,5.0,0.01,0,0.0,10.11,42555
7,SELL_A,ST_FLIP_GREEN,2024-02-01T09:30:00,2024-02-01T14:00:00,short,42509,42325,100,0.1,4250.9,100.0,18.4,8.29,696.36,0.01,184,0.43,0,0.0,991.83,83313.72,0.99,425.09,0.1,10,5.0,0.01,0,0.0,10.11,42601
8,BUY_A,ST_FLIP_RED,2024-02-01T14:00:00,2024-02-01T15:30:00,long,42325,42739,100,0.1,4232.5,100.0,41.4,31.29,2628.36,0.03,414,0.98,0,0.0,1023.12,85942.08,1.02,423.25,0.1,10,5.0,0.01,0,0.0,10.11,42233
9,SELL_A,ST_FLIP_GREEN,2024-02-01T15:30:00,2024-02-02T05:30:00,short,42693,42647,100,0.1,4269.3,100.0,4.6,-5.51,-462.84,-0.01,46,0.11,0,0.0,1017.61,85479.24,1.02,426.93,0.1,10,5.0,0.01,0,0.0,10.11,42785
10,BUY_A,ST_FLIP_RED,2024-02-02T05:30:00,2024-02-02T08:00:00,long,42693,43061,100,0.1,4269.3,100.0,36.8,26.69,2241.96,0.03,368,0.86,0,0.0,1044.3,87721.2,1.04,426.93,0.1,10,5.0,0.01,0,0.0,10.11,42601
11,SELL_A,ST_FLIP_GREEN,2024-02-02T08:00:00,2024-02-02T10:30:00,short,43061,43153,100,0.1,4306.1,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.21,1024.99,86099.16,1.02,430.61,0.1,10,5.0,0.01,0,0.0,10.11,43153
12,SELL_B,ST_FLIP_GREEN,2024-02-02T13:00:00,2024-02-02T14:30:00,short,43061,42831,100,0.1,4306.1,100.0,23.0,12.89,1082.76,0.01,230,0.53,0,0.0,1037.88,87181.92,1.04,430.61,0.1,10,5.0,0.01,0,0.0,10.11,43153
13,BUY_A,ST_FLIP_RED,2024-02-02T15:00:00,2024-02-02T17:30:00,long,42877,43107,100,0.1,4287.7,100.0,23.0,12.89,1082.76,0.01,230,0.54,0,0.0,1050.77,88264.68,1.05,428.77,0.1,10,5.0,0.01,0,0.0,10.11,42785
14,SELL_A,ST_FLIP_GREEN,2024-02-02T17:30:00,2024-02-02T19:30:00,short,43061,43061,100,0.1,4306.1,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,1040.66,87415.44,1.04,430.61,0.1,10,5.0,0.01,0,0.0,10.11,43153
15,BUY_A,ST_FLIP_RED,2024-02-02T19:30:00,2024-02-02T20:30:00,long,43107,42969,100,0.1,4310.7,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.32,1016.75,85407.0,1.02,431.07,0.1,10,5.0,0.01,0,0.0,10.11,43015
16,SELL_B,ST_FLIP_GREEN,2024-02-02T20:30:00,2024-02-02T21:00:00,short,42969,43061,100,0.1,4296.9,100.0,-9.2,-19.31,-1622.04,-0.02,0,0.0,92,0.21,997.44,83784.96,1.0,429.69,0.1,10,5.0,0.01,0,0.0,10.11,43061
17,BUY_A,ST_FLIP_RED,2024-02-02T21:00:00,2024-02-03T00:30:00,long,43061,43199,100,0.1,4306.1,100.0,13.8,3.69,309.96,0.0,138,0.32,0,0.0,1001.13,84094.92,1.0,430.61,0.1,10,5.0,0.01,0,0.0,10.11,42969
18,SELL_A,ST_FLIP_GREEN,2024-02-03T00:30:00,2024-02-03T01:00:00,short,43199,43337,100,0.1,4319.9,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.32,977.22,82086.48,0.98,431.99,0.1,10,5.0,0.01,0,0.0,10.11,43291
19,BUY_B,ST_FLIP_RED,2024-02-03T01:00:00,2024-02-03T01:30:00,long,43337,43199,100,0.1,4333.7,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.32,953.31,80078.04,0.95,433.37,0.1,10,5.0,0.01,0,0.0,10.11,43245
20,SELL_B,ST_FLIP_GREEN,2024-02-03T01:30:00,2024-02-03T15:00:00,short,43199,43153,100,0.1,4319.9,100.0,4.6,-5.51,-462.84,-0.01,46,0.11,0,0.0,947.8,79615.2,0.95,431.99,0.1,10,5.0,0.01,0,0.0,10.11,43291
21,BUY_A,ST_FLIP_RED,2024-02-03T17:30:00,2024-02-03T18:30:00,long,43199,43061,100,0.1,4319.9,100.0,-13.8,-23.91,-2008.44,-0.02,0,0.0,138,0.32,923.89,77606.76,0.92,431.99,0.1,10,5.0,0.01,0,0.0,10.11,43107
22,SELL_B,ST_FLIP_GREEN,2024-02-03T18:30:00,2024-02-04T09:00:00,short,43061,42923,100,0.1,4306.1,100.0,13.8,3.69,309.96,0.0,138,0.32,0,0.0,927.58,77916.72,0.93,430.61,0.1,10,5.0,0.01,0,0.0,10.11,43153
23,BUY_A,ST_FLIP_RED,2024-02-04T09:00:00,2024-02-04T14:30:00,long,42923,42923,100,0.1,4292.3,100.0,0.0,-10.11,-849.24,-0.01,0,0.0,0,0.0,917.47,77067.48,0.92,429.23,0.1,10,5.0,0.01,0,0.0,10.11,42831
