direction,entry_type,exit_type,entry_dt,entry_px,exit_dt,exit_px,pnl
SHORT,SELL_A,OPP_SIGNAL,2024-02-02 12:00:00+00:00,42773,2024-02-09 10:00:00+00:00,46973,-430.4873
LONG,BUY_B,OPP_SIGNAL,2024-02-09 10:00:00+00:00,46973,2024-02-13 02:00:00+00:00,49973,289.1527
SHORT,SELL_A,OPP_SIGNAL,2024-02-13 02:00:00+00:00,49973,2024-02-15 02:00:00+00:00,51973,-211.0973
LONG,BUY_B,OPP_SIGNAL,2024-02-15 02:00:00+00:00,51973,2024-02-16 14:00:00+00:00,51973,-11.197299999999998
SHORT,SELL_A,OPP_SIGNAL,2024-02-16 14:00:00+00:00,51973,2024-02-27 08:00:00+00:00,56173,-431.4073
LONG,BUY_B,OPP_SIGNAL,2024-02-27 08:00:00+00:00,56173,2024-02-29 00:00:00+00:00,61973,568.0927
SHORT,SELL_A,OPP_SIGNAL,2024-02-29 00:00:00+00:00,61973,2024-03-01 06:00:00+00:00,61373,47.8327
LONG,BUY_A,OPP_SIGNAL,2024-03-01 06:00:00+00:00,61373,2024-03-05 18:00:00+00:00,63173,167.77270000000001
SHORT,SELL_B,OPP_SIGNAL,2024-03-05 18:00:00+00:00,63173,2024-03-06 04:00:00+00:00,63373,-32.3273
LONG,BUY_A,OPP_SIGNAL,2024-03-06 04:00:00+00:00,63373,2024-03-06 12:00:00+00:00,66973,347.48269999999997
SHORT,SELL_A,OPP_SIGNAL,2024-03-06 12:00:00+00:00,66973,2024-03-11 18:00:00+00:00,72173,-532.9573
LONG,BUY_B,OPP_SIGNAL,2024-03-11 18:00:00+00:00,72173,2024-03-12 14:00:00+00:00,71973,-33.207300000000004
SHORT,SELL_A,OPP_SIGNAL,2024-03-12 14:00:00+00:00,71973,2024-03-13 00:00:00+00:00,71773,6.8127
LONG,BUY_A,OPP_SIGNAL,2024-03-13 00:00:00+00:00,71773,2024-03-14 12:00:00+00:00,72773,86.7727
SHORT,SELL_A,OPP_SIGNAL,2024-03-14 12:00:00+00:00,72773,2024-03-15 12:00:00+00:00,67973,466.96270000000004
LONG,BUY_A,OPP_SIGNAL,2024-03-15 12:00:00+00:00,67973,2024-03-16 10:00:00+00:00,68773,67.1627
SHORT,SELL_A,OPP_SIGNAL,2024-03-16 10:00:00+00:00,68773,2024-03-17 08:00:00+00:00,66173,247.2527
LONG,BUY_A,OPP_SIGNAL,2024-03-17 08:00:00+00:00,66173,2024-03-18 08:00:00+00:00,68173,187.2827
SHORT,SELL_A,OPP_SIGNAL,2024-03-18 08:00:00+00:00,68173,2024-03-20 18:00:00+00:00,64973,307.3427
LONG,BUY_B,OPP_SIGNAL,2024-03-20 18:00:00+00:00,64973,2024-03-25 06:00:00+00:00,66973,187.4027
SHORT,SELL_A,OPP_SIGNAL,2024-03-25 06:00:00+00:00,66973,2024-03-28 06:00:00+00:00,69773,-292.8373
LONG,BUY_A,OPP_SIGNAL,2024-03-28 06:00:00+00:00,69773,2024-03-29 14:00:00+00:00,69973,7.012700000000001
SHORT,SELL_A,OPP_SIGNAL,2024-03-29 14:00:00+00:00,69973,2024-03-29 22:00:00+00:00,69773,7.012700000000001
LONG,BUY_A,OPP_SIGNAL,2024-03-29 22:00:00+00:00,69773,2024-04-01 04:00:00+00:00,70373,46.9927
SHORT,SELL_A,OPP_SIGNAL,2024-04-01 04:00:00+00:00,70373,2024-04-01 18:00:00+00:00,68973,127.03269999999999
LONG,BUY_A,OPP_SIGNAL,2024-04-01 18:00:00+00:00,68973,2024-04-05 02:00:00+00:00,68173,-92.8573
SHORT,SELL_A,OPP_SIGNAL,2024-04-05 02:00:00+00:00,68173,2024-04-05 14:00:00+00:00,67573,47.2127
LONG,BUY_A,OPP_SIGNAL,2024-04-05 14:00:00+00:00,67573,2024-04-06 10:00:00+00:00,67773,7.2326999999999995
SHORT,SELL_A,OPP_SIGNAL,2024-04-06 10:00:00+00:00,67773,2024-04-06 16:00:00+00:00,68173,-52.7973
LONG,BUY_A,OPP_SIGNAL,2024-04-06 16:00:00+00:00,68173,2024-04-09 04:00:00+00:00,71173,287.0327
SHORT,SELL_A,OPP_SIGNAL,2024-04-09 04:00:00+00:00,71173,2024-04-12 02:00:00+00:00,70573,46.9127
LONG,BUY_A,OPP_SIGNAL,2024-04-12 02:00:00+00:00,70573,2024-04-12 16:00:00+00:00,68173,-252.9373
SHORT,SELL_B,OPP_SIGNAL,2024-04-12 16:00:00+00:00,68173,2024-04-16 16:00:00+00:00,62373,567.4727
LONG,BUY_A,OPP_SIGNAL,2024-04-16 16:00:00+00:00,62373,2024-04-19 00:00:00+00:00,63173,67.7227
SHORT,SELL_A,OPP_SIGNAL,2024-04-19 00:00:00+00:00,63173,2024-04-26 20:00:00+00:00,63973,-92.3573
LONG,BUY_A,OPP_SIGNAL,2024-04-26 20:00:00+00:00,63973,2024-05-04 16:00:00+00:00,63573,-52.3773
SHORT,SELL_A,OPP_SIGNAL,2024-05-04 16:00:00+00:00,63573,2024-05-07 04:00:00+00:00,63573,-12.357300000000002
LONG,BUY_A,OPP_SIGNAL,2024-05-07 04:00:00+00:00,63573,2024-05-14 16:00:00+00:00,61573,-212.25730000000001
