Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2026-08-20 11:30:13.335650+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69403.01000000,69654.70000000,,6940.30100000,4.09477759,0,0,limit_order,closed,,,2169564962
2026-08-20 11:30:07.384493+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69404.01000000,138835.30000000,,6940.40100000,4.09483659,-19.861,-19.861,market_order,closed,,,2169564947
2026-08-20 11:30:10.700609+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,69759.00000000,,0,,,market_order,cancelled,cancelled_by_user,,2169550166
2026-08-20 08:30:42.731473+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69205.40000000,68937.60000000,,6920.54000000,4.0831186,0,0,limit_order,closed,,,2169550159
2026-08-20 07:20:28.788628+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69865.21000000,139641.20000000,69863.50000000,6986.52100000,4.12204739,-55.621,-55.621,market_order,closed,,,2169539759
2026-08-20 05:30:12.358714+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69309.00000000,69072.20000000,,6930.90000000,4.089231,0,0,limit_order,closed,,,2169539757
2026-08-20 05:30:05.930937+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69320.00000000,0.10000000,,6932.00000000,4.08988,89.9,89.9,market_order,closed,,,2169539750
2026-08-20 05:30:09.806352+05:30 IST Asia/Kolkata,BTCUSD,100,sell,0.00000000/100.00000000,,,67873.60000000,,0,,,market_order,cancelled,cancelled_by_user,,2169525650
2026-08-20 01:30:06.667114+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,68421.00000000,68648.80000000,,6842.10000000,4.036839,0,0,limit_order,closed,,,2169525645
2026-08-19 19:36:31.810395+05:30 IST Asia/Kolkata,BTCUSD,100.000000000000000000,buy,100.00000000/0.00000000,65332.00000000,130595.20000000,65330.50000000,6533.20000000,3.854588,-96.7,-96.7,market_order,closed,,,2169396785
2026-08-19 07:30:06.108040+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,64365.00000000,64125.80000000,,6436.50000000,3.797535,0,0,limit_order,closed,,,2169396784
2026-08-19 05:30:08.200916+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,64705.00000000,129406.80000000,,6470.50000000,3.817595,-6.9,-6.9,market_order,closed,,,2169392360
2026-08-19 05:30:11.775528+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,65605.50000000,,0,,,market_order,cancelled,cancelled_by_user,,2169380681
2026-08-18 23:30:13.225878+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,64636.00000000,64387.80000000,,6463.60000000,3.813524,0,0,limit_order,closed,,,2169380676
2026-08-18 23:30:07.252016+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,64636.00000000,0.10000000,,6463.60000000,3.813524,-21.6,-21.6,market_order,closed,,,2169380662
2026-08-18 23:30:10.623499+05:30 IST Asia/Kolkata,BTCUSD,100,sell,0.00000000/100.00000000,,,63879.20000000,,0,,,market_order,cancelled,cancelled_by_user,,2169370513
2026-08-18 21:30:12.014547+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,64852.00000000,65083.20000000,,6485.20000000,3.826268,0,0,limit_order,closed,,,2169370508
2026-08-18 21:30:05.912536+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,64854.12000000,129662.80000000,,6485.41200000,3.82639308,-64.612,-64.612,market_order,closed,,,2169370486
2026-08-18 21:30:09.558095+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,65171.10000000,,0,,,market_order,cancelled,cancelled_by_user,,2169356591
2026-08-18 19:30:05.282542+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,64208.00000000,63942.00000000,,6420.80000000,3.788272,0,0,limit_order,closed,,,2169356588
2026-08-18 17:30:23.219208+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,64315.00000000,128632.00000000,,6431.50000000,3.794585,-14.1,-14.1,market_order,closed,,,2169347348
2026-08-18 17:30:27.075303+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,65136.60000000,,0,,,market_order,cancelled,cancelled_by_user,,2169311167
