Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2026-08-20 13:30:08.982952+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69863.75000000,70082.20000000,,6986.37500000,4.12196125,0,0,limit_order,closed,,,2169573891
2026-08-20 13:30:04.764688+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69845.54000000,139629.60000000,,6984.55400000,4.12088686,-19.454,-19.454,market_order,closed,,,2169573884
2026-08-20 13:30:07.397981+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,70208.20000000,,0,,,market_order,cancelled,cancelled_by_user,,2169571473
2026-08-20 13:00:09.017128+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69651.00000000,69422.80000000,,6965.10000000,4.109409,0,0,limit_order,closed,,,2169571464
2026-08-20 13:00:05.817417+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69659.00000000,0.10000000,,6965.90000000,4.109881,5.193,5.193,market_order,closed,,,2169571460
2026-08-20 13:00:08.145672+05:30 IST Asia/Kolkata,BTCUSD,100,sell,0.00000000/100.00000000,,,69050.20000000,,0,,,market_order,cancelled,cancelled_by_user,,2169566990
2026-08-20 12:00:09.895475+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69607.07000000,69838.40000000,,6960.70700000,4.10681713,0,0,limit_order,closed,,,2169566983
2026-08-20 12:00:04.911423+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69594.79000000,139194.00000000,,6959.47900000,4.10609261,-19.308,-19.308,market_order,closed,,,2169566976
2026-08-20 12:00:08.233731+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,69956.90000000,,0,,,market_order,cancelled,cancelled_by_user,,2169564961
2026-08-20 11:30:09.704393+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69401.71000000,69147.20000000,,6940.17100000,4.09470089,0,0,limit_order,closed,,,2169564953
2026-08-20 11:30:05.728962+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69403.71000000,0.10000000,,6940.37100000,4.09481889,21.871,21.871,market_order,closed,,,2169564942
2026-08-20 11:30:08.531258+05:30 IST Asia/Kolkata,BTCUSD,100,sell,0.00000000/100.00000000,,,68631.50000000,,0,,,market_order,cancelled,cancelled_by_user,,2169554597
2026-08-20 09:30:10.361412+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69185.00000000,69434.70000000,,6918.50000000,4.081915,0,0,limit_order,closed,,,2169554595
2026-08-20 09:30:05.586182+05:30 IST Asia/Kolkata,BTCUSD,100,buy,100.00000000/0.00000000,69185.00000000,138389.40000000,,6918.50000000,4.081915,31.2,31.2,market_order,closed,,,2169554591
2026-08-20 09:30:08.221572+05:30 IST Asia/Kolkata,BTCUSD,100,buy,0.00000000/100.00000000,,,70053.00000000,,0,,,market_order,cancelled,cancelled_by_user,,2169548202
2026-08-20 08:00:12.767368+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69497.00000000,69233.00000000,,6949.70000000,4.100323,0,0,limit_order,closed,,,2169548198
2026-08-20 08:00:07.779915+05:30 IST Asia/Kolkata,BTCUSD,100,sell,100.00000000/0.00000000,69487.00000000,0.10000000,,6948.70000000,4.099733,-21.318,-21.318,market_order,closed,,,2169548191
